create_ts	id	tags	title	body	answers
2014-04-22T17:35:44.280	1	php^&^jdatabase^&^mysql^&^database	method for creating a subquery using jdatabase	at http   docs joomla org selecting data using jdatabase   there isn t a documented method for writing a subquery using jdatabase   https   gist github com gunjanpatel 8663333 exemplifies one way of accomplishing this with  a few bits omitted     subquery    db  getquery true    query       db  getquery true       create the base subquery select statement   subquery  select            from  db  quotename     sub table          where  db  quotename  subtest              db  quote  1         create the base select statement   query  select            from  db  quotename     table          where  db  quotename  state              db  quote  1          where  db  quotename  subcheckin       in       subquery    tostring                order  db  quotename  ordering       asc        set the query and load the result   db  setquery  query     this seems like a good  plausible approach  but is there a better one  	afaik there isn t a built in way to do easy subqueries  which is probably a deficiency in the system and should be corrected via pr   however  i see no issue with your example   seems reasonable enough         here s an example in response to  davidfritsch s comment below  the more that i think about it though  the better i like the more simple approach displayed in the op  it s more clear what s going on    query    this  db  getquery true      select  a         subquery         select  b           from     table b as b         as  subqueryresult       endsubquery       from     table a as a      yes  as far as i m concerned  the way you built the subquery is the one adopted by the majority of joomla s extensions developers   i use that same method on some of my extensions and custom extensions made for clients    there is no  official  way of doing this  but doing it as you showed lets you use the query builder and still retain a good amount of readability  
2014-04-22T17:40:15.487	2	joomla-3.x^&^seo^&^sh404sef	custom canonical urls using sh404sef	currently my site is using the sh404sef plugin  joomla 3 2  to add canonical urls to every page  this is working  however on the index page its outputting   www example com  view home  instead of   www example com  is there a way to update these canonical urls using the joomla admin   sh404sef plugin  	
2014-04-22T17:40:50.383	3	cms^&^joomla-framework-1.x	what are the differences between the joomla  cms  the joomla  platform and the joomla  framework 	many of us have come to understand joomla  to refer to a specific software we use  yet there are 3 different types of software available from joomla   these are   1  the joomla  cms   2  the joomla  platform  and  3  the joomla  framework   what are the differences  	the joomla  cms is the product you likely know and use  it s the content management system which powers many sites  usually when talking about joomla   we just mean the cms  official site  http   www joomla org   the joomla  platform is the old underlying code which powers the cms  it used to be a separated project but was merged back into the cms  the platform no longer exists as an own project  the joomla  framework is a rather new project  it s meant as a framework to power various standalone applications  it s based on the cms code  but was modernised and improved a lot  currently  the cms only uses a few classes from the framework  but that is likely to raise over the time  there are also other applications like jissues which are built on this framework  official site  http   framework joomla org    bakual did a good job of explaining it  but i just wanted to add that a big purpose of the framework is to improve practices for everyone who develops extensions for the cms  it follows modern practices and makes it easier to write clean  testable code  i say this from the standpoint as a big proponent of the framework  i ve contributed heavily  and from the fact that i use the joomla  cms every day at work  and i want to make that easier   the framework is the future   
2014-04-22T17:47:35.340	5	sh404sef^&^seo^&^.htaccess-configuration	i m using sh404sef on hostgator  what should i do with my  htaccess 	i m new to sh404sef  but i understand it is widely used   i host with hostgator   i m using sh404sef primarily to generate search engine friendly url s   sh404sef advertises that i can do this without modifying the  htaccess file  but while this might be the easiest approach  is it the best approach   assuming that i have no issue with having to modify the  htaccess file   should i make any modifications to it   what modifications should i make  what are the impact of those modifications   	1  not really    2  from a configuration perspective you don t need to change anything in the  htaccess file for proper and optimal functionality of sh404sef   from an  seo  perspective  there are some things i would recommend  mainly ensure that you are properly redirecting non www to www  or vise versa  using this    http   stackoverflow com questions 4159088 how to modify htaccess file to always redirect to www  make sure you add it below the rewriteengine on line    3  redirects non www urls to www urls as a 301 redirect  gives some improved seo juice so google doesn t give seo authority to more than one url    
2014-04-22T17:52:09.743	6	cms^&^github	how do i contribute code to joomla 	i am aware that the code is managed at https   github com joomla joomla cms  for the cms at least  and that i should submit pull requests to suggest that code be added   i m especially interested in any good tips on managing my contributions and making sure that the code gets into the right place   should i use different branches in my forked repo to manage different contributions  if so  what is the best way to link that branch back to the main branches in the joomla repo   is there a good method to keep my forked copy up to date   any suggestions on a good flow for managing this process would be really helpful  	it s always good to have a dedicated branch for each pull request you are going to make   one of the simplest ways to create a up to date new branch is to just use the github web gui to edit the file in the original repository  when saving  github will automatically create a new branch in your fork based on the branch you currently edit  if you want to edit more files  you can edit them in your newly created and up to date branch   if you are a bit familiar with git  then you rebase your forked staging branch with the upstream original branch so it is in sync before you create new branches  also if you have to update a pr  it s recommended to rebase it instead of merging master  while both ways work  merge commits are just creating bad history and are harder to squash   generally speaking  prs should be  atomic   this means if you try to fix something  only fix that particular bug  don t fix two different bugs in the same pr and also don t do codestyle fixes  it s easier to test and also less likely to create conflicts if the pr lives a bit longer than expected   and of course add a good description of what you want to do and testing instructions to reproduce the issue and test your fix      one big thing that helps with grouping your contributions is to move each contribution into a separate  appropriately named  branch  if you re adding a feature  use a prefix like feature  and the add a one or two word feature description for the branch name  if it s a bug fix in the jform class  use bugfix jform   this makes it really easy to identify what you re working on by checking your git branches via git branch  a    
2014-04-22T17:55:53.433	8	overrides^&^update	how to keep overrides updated 	as many know  it is possible to override templates  views  modules  components   the main problem is when joomla  is updated  and the items overriden  in the template folder  get outdated   how do i keep the overrides updated each time an update is done to joomla   do i need to do it by hand and check each new update  or is there some other way to do this  	yes  you have to compare the files every time by hand and update the changes  on minor updates the chance is relatively small that you have to adjust them  but on major upgrades the overridden files can change significantly  i would also prefer an easier way  but it s the only solution atm   when joomla core is updated  no overrides in your template folder should be affected   that s why they exist   on core joomla items  overrides are going to only rarely conflict with joomla core updates     when you override the joomla core files  or any files  document document document   commenting in the override file is critical if this is going to happen to you regularly and you admin more than one or two sites   you just won t remember what you changed    your code editor should have a  diff  feature  to compare the new file to the old and identify line by line what changes were made   if you ve commented well  this diffing will show you exactly what was changed and if the file was affected by the update   your only changes should be your overrides    anything else and you do have to go and re override   third party overrides  however  become an issue only if the developer is not using the mvc structure correctly   if a component or module is laid out appropriately  the tmpl or view in question should not be affected by code updates    if there is a major feature shift in that extension  you ll definitely need to document comment and compare files    write a small script which calculates md5 of original files which you have done over riding   dump these file path and md5 into a file in your template whenever joomla is updated  run the above script again   check the difference in md5  if any then you need to check it out    tip  override the files only if those changes cannot be done by css overriding   
2014-04-22T17:55:55.723	9	php^&^cms^&^menu^&^module	custom menu get title of the active menu s parent item	i can get the title of the active menu using   menu    jsite  getmenu     menuname    menu  getactive    title    but how can i access it s parent title  	try this code    menu   jfactory  getapplication    getmenu     parent    menu  getitem   menu  getactive    parent id     parentname    parent  title   if you need the link   parentlink   jroute      parent  link     itemid      parent  id      
2014-04-22T17:56:53.860	10	joomla-2.5^&^joomla-3.x^&^component	joomla component tool or scaffold 	i have created a couple of plugins for joomla 3 2 and have recently started on a component to manage apartment rentals  i was wondering if there is a framework out there that had the basic file folder structure already created with the files necessary to get a component going quickly   i don t want to have to recreate the wheel every time i start  and the files and classes necessary to get a component going have a basic necessary structure  is there one already out there   if there is not  which stock joomla component would be a good example to work from   edit  upon seeing the answers  i think maybe  framework  was a bad choice of terms  i am not looking for anything that has a codebase of it s own  i was lokking for something that has the file folder structure that is common to all joomla components and required to run  such as the controller  the views folder  the models folder  etc   what i am looking for should have no dependencies that are not already a part of the joomla core code   i found one for joomla 1 5 that had all the necessary files and all you had to do was rename the classes and files to match the name of your component and install and you would have a basic admin view  a front end menu view    etc    i am hoping someone out there created one for  	one tool that i ve used in the past is component creator  http   www component creator com en     this tool allows you to outline one table for free  more if you sign up for a paid package  as well as other general information on the component itself  you can then download an installable zip file to get the component started   for those that are happy jumping into the code anyway  this can be a great simple method to jumpstart the component development     there is also some extensions that you can install in joomla to help you develop other joomla components  one example of that style of helper is this free extension easy creator  http   extensions joomla org extensions miscellaneous development 5908  this can be a great add on for a testing environment mixed with a build tool in one nice package   have you taken a look at the joomla hello world component   i have not looked at it yet  but it looks like it has the minimum files needed for building a component  also since joomla 3 2 includes framework on framework  fof   have you looked at the to do fof example component  i know that i have writing a custom joomla 3 x component on my list of things to do and these were the two examples i was planning to use in beginning the project  hopefully  they will work for you too   i don t like to recommend any sort of  framework  for this sort of thing for several reasons   1  the cms has a  framework   and i wish if there was a need to make it  easier  to write extensions we would focus on the core framework code instead of writing 3rd party items    2  if you write your extension on a framework that goes defunct you re rather screwed    3  using the core is ideally going to make updates better  this has not always been the case which is why there are 3rd party frameworks for this  but the more we insist on it being the case and expect it to be  the more it actually will be  if we don t focus on it it ll never improve        so with that said  there is a  rad framework  in joomla called fof  framework on framework   i have not used it but it s said to be a time saving tool  there s some documentation on it here    https   www akeebabackup com documentation fof getting started with fof html  note   fof is included in joomla 3 2 s distro  so you don t need to install it if you re extension is for joomla 3 2     finally   if you are wanting to stay in the core and use the core mvc classes  currently it s still encouraged to use the legacy mvc classes  will be changing as soon as the new mvc is thoroughly sussed through   a good base extension to look at is really the com contact or com banners component  they re fairly simple and you can pick up on things like jform and custom models that way    i would highly recommend cook self service    i believe there s a small charge  but it generated about 85  of our major education component  saving  1000 s to get started with  and the code it generated was nice and clean for our modification   after writing numerous extensions for clients  i found myself following a lot of the same patterns over and over  to keep things dry  i created a  component framework  that abstracts away most of the common tasks that i do  but so far it s only been used internally at my company  it lacks a lot of features  but it gets the job done for what i need   i said that to say this   develop your own component framework in the same way  take the commonalities of the code you are currently producing  and move it up a level in the oo hierarchy into it s own layer that sits between your component and joomla  with this approach  you avoid the  if the framework goes bust  problem that chad mentioned  and you understand it that much better  it s worked well for me so far   
2014-04-22T17:58:01.977	11	sh404sef^&^security	getting too many  flood  request  how can i block reduce bot requests to my site 	we are using j3 2 3 on one of our client s website  which is an online casino website   the website is not live yet  as it is in development mode   today we noticed that the server is too slow  though it s a dedicated server   after digging into the server we understood that there are a lot of requests coming from various ips  bots  etc   we can definitely block the ips using ubuntu tools  but this is not a solution  we should use a method to first detect them  then to block them  but at the same time not to block the real visitors   i installed sh404sef and activated the security features  as well as  project honey pot  now when i go to components   sh404sef   security stats  i get these stats for the last 30 40 minutes      question 1  is it dangerous to have this much page requests  question 2  is there a way to reduce the number of requests  question 3  which is the best way to protect my joomla website against the bots  ddos attacks  etc   thank you  	if you are using cpanel or any other linux distribution i would highly suggest using http   configserver com cp csf html and configuring it  it will reduce the amount of bots that are hitting your server and using up your resources   you can use cloudflare as firewall to your site  http   www cloudflare com features security  you can also run jsecure on your site  it s a simple component that moves the administrator login to something other than  administrator index php   it can also redirect requests to the old admin page to something like a 403 page and has some basic ip auto banning functionality   it s a small change but i find it greatly reduces the number of bots requests on a site   there are components that can help with this  sh404sef by anything digital has the ability to monitor  throttle and block requests based on a preset config that you define  i think akeeba admin tools pro allows this as well   if nothing else  you can always view your server logs in cpanel and add blocking config to your site  htaccess file   i would suggest akeeba admin tools  it offers great protection to nearly all kind of attacks  and white black list features  you can block ips  etc     that said  i would investigate why a non live site is attacked so much  is strange being still in development  there is no one solution  you are best off using a combination of solutions  we have some high profile sites that are often targeted so we have adopted these measures     cloudflare   great service  the bogus requests never make it to your server and their caching will save you considerable bandwidth  they filter the vast majority of bad requests  admin tools or rs firewall   many sites you can block most countries other than your target audience  they can also automatically block ip addresses that are repeat offenders  jsecure or similar plugin   changing the url to the admin site is easy insurance  there s nothing to attack if they can t find the page    this protects your sites in multiple ways  most attackers won t bother with your site if they hit a couple of roadblocks early  there are too many other insecure sites out there to spend a lot of time on one site  unless they are specifically targeting your site  you should be good   
2014-04-22T18:05:39.323	14	acl	acl and control access to download documents based user group permissions	i m working on a pet project web site using joomla  to organize my apartment  i e  itemizing and photographing belongings  great for insurance   appliances with attached scanned receipts and warranties  having access to medical documents  i e in case of emergencies   shopping lists  joint calendars  photo albums  google map etc    however  my main concern is that some of these documents are quite sensitive   these are the following  user groups  that i would like to set up in acl    general public  friends and family  i e  access to specific photo albums  events etc   residents  access to everything  including the  sensitive docs     i would like to set up the joomla  site using acl so that only those in the  residents  user group have access to download the docs  i e  a download link with a description is only shown to those logged in as residents and only residents user group members can download the docs     can this be done with joomla  s native acl   how   if not  what extensions can i use and how can this been accomplished    again  the main concern is how to make these sensitive docs and their description readily available authorized users  while protecting them from those who are not  	i tend to use docman for this sort of thing  but you could still use the built in acl to control regular articles and then embed document urls in the articles  if you ve got a lot of documents though  i d say a doc manager like docman is worth looking at  you can set up groups and even have it hide categories you don t have access to   as far as the other items  such as galleries  etc  some components honor the acl system and some don t  look for the properties button in the component   another way is to use something like widget kit and embed the galleries in a joomla article   short answer is  yes  the built in acl can be used to hide categories  articles  menu items  modules  etc so you should be able to set this up without too much trouble   docman will do this   http   www joomlatools com extensions docman overview  configure your user groups with this inheritance    public   friends and family  inherits the public settings but has more access      residents  inherits the friends and family settings but has    more access      then configure your categories and documents in the docman component with the correct access levels  i like to set my docman categories for the minimum level of access  in your case  public   then set the access levels of the individual files  this way  everyone can see the categories  but only those with the required access can see the documents   
