time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00000 0002 00031 -1136.56278 1.00000 1.00000 0 0 0
    0.00 00001 0002 00030 -1104.72263 1.00000 1.00000 0 0 0
    0.00 00002 0003 00037 -1189.95452 1.00000 1.00000 0 0 0
    0.00 00003 0002 00036 -1214.08757 1.00000 1.00000 0 0 0
    0.00 00004 0002 00039 -1282.60844 1.00000 1.00000 0 0 0
    0.00 00005 0002 00036 -1255.80668 1.00000 1.00000 0 0 0
    0.00 00006 0003 00033 -1229.18578 1.00000 1.00000 0 0 0
    0.00 00007 0002 00034 -1326.73238 1.00000 1.00000 0 0 0
    0.00 00008 0002 00033 -1294.65103 1.00000 1.00000 0 0 0
    0.00 00009 0003 00032 -1245.88774 1.00000 1.00000 0 0 0
    0.00 00010 0002 00031 -1226.82412 1.00000 1.00000 0 0 0
    0.00 00011 0002 00037 -1255.69169 1.00000 1.00000 0 0 0
    0.00 00012 0002 00034 -1267.87245 1.00000 1.00000 0 0 0
    0.00 00013 0002 00036 -1377.73917 1.00000 1.00000 0 0 0
    0.00 00014 0003 00039 -1344.08139 1.00000 1.00000 0 0 0
    0.00 00015 0003 00038 -1370.73340 1.00000 1.00000 0 0 0
    0.00 00016 0003 00034 -1271.18636 1.00000 1.00000 0 0 0
    0.00 00017 0002 00031 -1266.23958 1.00000 1.00000 0 0 0
    0.00 00018 0002 00033 -1279.14154 1.00000 1.00000 0 0 0
    0.00 00019 0002 00038 -1340.75824 1.00000 1.00000 0 0 0
    0.00 00020 0002 00032 -1302.47201 1.00000 1.00000 0 0 0
    0.00 00021 0002 00034 -1297.74467 1.00000 1.00000 0 0 0
    0.00 00022 0002 00029 -1303.08655 1.00000 1.00000 0 0 0
    0.00 00023 0002 00032 -1314.33799 1.00000 1.00000 0 0 0
    0.00 00024 0004 00032 -1297.82415 1.00000 1.00000 0 0 0
    0.00 00025 0002 00031 -1277.15022 1.00000 1.00000 0 0 0
    0.00 00026 0002 00041 -1375.01912 1.00000 1.00000 0 0 0
    0.00 00027 0003 00045 -1377.60524 1.00000 1.00000 0 0 0
    0.00 00028 0002 00036 -1303.54579 1.00000 1.00000 0 0 0
    0.00 00029 0003 00034 -1282.10326 1.00000 1.00000 0 0 0
    0.00 00030 0002 00036 -1286.05282 1.00000 1.00000 0 0 0
    0.00 00031 0002 00036 -1234.29160 1.00000 1.00000 0 0 0
    0.00 00032 0002 00034 -1229.89117 1.00000 1.00000 0 0 0
    0.00 00033 0002 00037 -1206.65019 1.00000 1.00000 0 0 0
    0.00 00034 0004 00041 -1276.99485 1.00000 1.00000 0 0 0
    0.00 00035 0002 00040 -1309.09103 1.00000 1.00000 0 0 0
    0.00 00036 0002 00042 -1265.76089 1.00000 1.00000 0 0 0
    0.00 00037 0002 00038 -1282.74830 1.00000 1.00000 0 0 0
    0.00 00038 0002 00037 -1289.46146 1.00000 1.00000 0 0 0
    0.00 00039 0002 00040 -1408.40573 1.00000 1.00000 0 0 0
    0.00 00040 0002 00038 -1405.05478 1.00000 1.00000 0 0 0
    0.00 00041 0003 00045 -1465.64747 1.00000 1.00000 0 0 0
    0.00 00042 0003 00042 -1401.30922 1.00000 1.00000 0 0 0
    0.00 00043 0002 00038 -1295.03257 1.00000 1.00000 0 0 0
    0.00 00044 0003 00041 -1275.52305 1.00000 1.00000 0 0 0
    0.00 00045 0003 00040 -1291.63398 1.00000 1.00000 0 0 0
    0.00 00046 0002 00035 -1299.62898 1.00000 1.00000 0 0 0
    0.00 00047 0002 00040 -1344.04968 1.00000 1.00000 0 0 0
    0.00 00048 0002 00034 -1294.16585 1.00000 1.00000 0 0 0
    0.00 00049 0003 00036 -1229.56265 1.00000 1.00000 0 0 0
    0.00 00050 0002 00034 -1206.85624 1.00000 1.00000 0 0 0
    0.00 00051 0002 00037 -1267.15683 1.00000 1.00000 0 0 0
    0.00 00052 0003 00031 -1231.83789 1.00000 1.00000 0 0 0
    0.00 00053 0004 00036 -1185.54099 1.00000 1.00000 0 0 0
    0.00 00054 0003 00038 -1189.55086 1.00000 1.00000 0 0 0
    0.00 00055 0004 00035 -1160.93715 1.00000 1.00000 0 0 0
    0.00 00056 0003 00040 -1161.19673 1.00000 1.00000 0 0 0
    0.00 00057 0003 00036 -1162.47439 1.00000 1.00000 0 0 0
    0.00 00058 0002 00033 -1047.35834 1.00000 1.00000 0 0 0
    0.00 00059 0003 00029 -1016.40242 1.00000 1.00000 0 0 0
    0.00 00060 0003 00029 -982.38761 1.00000 1.00000 0 0 0
    0.00 00061 0002 00031 -969.14690 1.00000 1.00000 0 0 0
    0.00 00062 0003 00031 -982.16029 1.00000 1.00000 0 0 0
    0.00 00063 0003 00032 -1057.05628 1.00000 1.00000 0 0 0
    0.00 00064 0002 00034 -1066.73997 1.00000 1.00000 0 0 0
    0.00 00065 0002 00031 -1070.06461 1.00000 1.00000 0 0 0
    0.00 00066 0003 00037 -1134.45253 1.00000 1.00000 0 0 0
    0.00 00067 0002 00035 -1105.84040 1.00000 1.00000 0 0 0
    0.00 00068 0002 00034 -1089.48905 1.00000 1.00000 0 0 0
    0.00 00069 0002 00037 -1068.30343 1.00000 1.00000 0 0 0
    0.00 00070 0002 00035 -1071.94043 1.00000 1.00000 0 0 0
    0.00 00071 0002 00032 -1036.78174 1.00000 1.00000 0 0 0
    0.00 00072 0002 00031 -1025.79156 1.00000 1.00000 0 0 0
    0.00 00073 0002 00033 -1024.21618 1.00000 1.00000 0 0 0
    0.00 00074 0003 00035 -1059.92861 1.00000 1.00000 0 0 0
    0.00 00075 0002 00034 -1055.47790 1.00000 1.00000 0 0 0
    0.00 00076 0002 00037 -1067.20462 1.00000 1.00000 0 0 0
    0.00 00077 0002 00040 -1222.43037 1.00000 1.00000 0 0 0
    0.00 00078 0003 00044 -1294.92676 1.00000 1.00000 0 0 0
    0.00 00079 0002 00040 -1261.71635 1.00000 1.00000 0 0 0
    0.00 00080 0002 00039 -1337.99855 1.00000 1.00000 0 0 0
    0.00 00081 0002 00045 -1446.59438 1.00000 1.00000 0 0 0
    0.00 00082 0002 00035 -1411.33702 1.00000 1.00000 0 0 0
    0.00 00083 0002 00041 -1422.87863 1.00000 1.00000 0 0 0
    0.00 00084 0004 00047 -1444.42754 1.00000 1.00000 0 0 0
    0.00 00085 0003 00040 -1417.11146 1.00000 1.00000 0 0 0
    0.00 00086 0002 00041 -1411.68680 1.00000 1.00000 0 0 0
    0.00 00087 0002 00042 -1387.82052 1.00000 1.00000 0 0 0
    0.00 00088 0003 00042 -1414.48061 1.00000 1.00000 0 0 0
    0.00 00089 0002 00036 -1360.17987 1.00000 1.00000 0 0 0
    0.00 00090 0002 00038 -1361.03289 1.00000 1.00000 0 0 0
    0.00 00091 0003 00037 -1354.08186 1.00000 1.00000 0 0 0
    0.00 00092 0003 00040 -1389.81767 1.00000 1.00000 0 0 0
    0.00 00093 0002 00038 -1327.96481 1.00000 1.00000 0 0 0
    0.00 00094 0002 00037 -1354.85889 1.00000 1.00000 0 0 0
    0.00 00095 0002 00039 -1411.54208 1.00000 1.00000 0 0 0
    0.00 00096 0002 00038 -1393.81271 1.00000 1.00000 0 0 0
    0.00 00097 0003 00038 -1440.33543 1.00000 1.00000 0 0 0
    0.00 00098 0005 00036 -1464.97804 1.00000 1.00000 0 0 0
    0.00 00099 0003 00035 -1440.61718 1.00000 1.00000 0 0 0
    0.00 00100 0003 00039 -1532.38730 1.00000 1.00000 0 0 0
    0.00 00101 0003 00041 -1515.47988 1.00000 1.00000 0 0 0
    0.00 00102 0003 00045 -1526.80913 1.00000 1.00000 0 0 0
    0.00 00103 0003 00049 -1580.10254 1.00000 1.00000 0 0 0
    0.00 00104 0002 00043 -1560.77929 1.00000 1.00000 0 0 0
    0.00 00105 0002 00036 -1466.07673 1.00000 1.00000 0 0 0
    0.00 00106 0002 00039 -1480.34801 1.00000 1.00000 0 0 0
    0.00 00107 0002 00039 -1534.51595 1.00000 1.00000 0 0 0
    0.00 00108 0002 00040 -1477.61218 1.00000 1.00000 0 0 0
    0.00 00109 0003 00039 -1486.94678 1.00000 1.00000 0 0 0
    0.00 00110 0004 00043 -1457.21121 1.00000 1.00000 0 0 0
    0.00 00111 0002 00046 -1517.79911 1.00000 1.00000 0 0 0
    0.00 00112 0002 00046 -1572.64154 1.00000 1.00000 0 0 0
    0.00 00113 0002 00047 -1582.77731 1.00000 1.00000 0 0 0
    0.00 00114 0002 00042 -1536.54745 1.00000 1.00000 0 0 0
    0.00 00115 0002 00041 -1502.38588 1.00000 1.00000 0 0 0
    0.00 00116 0002 00041 -1535.67437 1.00000 1.00000 0 0 0
    0.00 00117 0002 00042 -1527.56080 1.00000 1.00000 0 0 0
    0.00 00118 0002 00048 -1588.74590 1.00000 1.00000 0 0 0
    0.00 00119 0002 00047 -1593.88888 1.00000 1.00000 0 0 0
    0.00 00120 0002 00048 -1563.04509 1.00000 1.00000 0 0 0
    0.00 00121 0002 00051 -1619.61016 1.00000 1.00000 0 0 0
    0.00 00122 0002 00050 -1555.50621 1.00000 1.00000 0 0 0
    0.00 00123 0002 00042 -1425.75605 1.00000 1.00000 0 0 0
    0.00 00124 0002 00041 -1430.61862 1.00000 1.00000 0 0 0
    0.00 00125 0002 00043 -1405.07164 1.00000 1.00000 0 0 0
    0.00 00126 0003 00048 -1397.09077 1.00000 1.00000 0 0 0
    0.00 00127 0003 00049 -1476.68776 1.00000 1.00000 0 0 0
    0.00 00128 0003 00045 -1433.47466 1.00000 1.00000 0 0 0
    0.00 00129 0002 00043 -1376.52802 1.00000 1.00000 0 0 0
    0.00 00130 0003 00044 -1411.72426 1.00000 1.00000 0 0 0
    0.00 00131 0003 00042 -1434.52688 1.00000 1.00000 0 0 0
    0.00 00132 0002 00041 -1444.44668 1.00000 1.00000 0 0 0
    0.00 00133 0003 00040 -1371.20796 1.00000 1.00000 0 0 0
    0.00 00134 0004 00044 -1400.99979 1.00000 1.00000 0 0 0
    0.00 00135 0003 00047 -1454.61563 1.00000 1.00000 0 0 0
    0.00 00136 0003 00039 -1268.89943 1.00000 1.00000 0 0 0
    0.00 00137 0002 00034 -1262.33605 1.00000 1.00000 0 0 0
    0.00 00138 0003 00037 -1264.55290 1.00000 1.00000 0 0 0
    0.00 00139 0003 00037 -1350.06234 1.00000 1.00000 0 0 0
    0.00 00140 0002 00041 -1372.26891 1.00000 1.00000 0 0 0
    0.00 00141 0002 00040 -1350.24790 1.00000 1.00000 0 0 0
    0.00 00142 0002 00038 -1324.43007 1.00000 1.00000 0 0 0
    0.00 00143 0002 00037 -1370.99718 1.00000 1.00000 0 0 0
    0.00 00144 0002 00039 -1445.61795 1.00000 1.00000 0 0 0
    0.00 00145 0002 00041 -1468.96420 1.00000 1.00000 0 0 0
    0.00 00146 0002 00041 -1548.04825 1.00000 1.00000 0 0 0
    0.00 00147 0002 00044 -1545.57431 1.00000 1.00000 0 0 0
    0.00 00148 0002 00045 -1537.03017 1.00000 1.00000 0 0 0
    0.00 00149 0002 00043 -1503.06419 1.00000 1.00000 0 0 0
    0.00 00150 0002 00040 -1510.61273 1.00000 1.00000 0 0 0
    0.00 00151 0003 00034 -1428.02733 1.00000 1.00000 0 0 0
    0.00 00152 0004 00038 -1414.04264 1.00000 1.00000 0 0 0
    0.00 00153 0003 00044 -1494.51492 1.00000 1.00000 0 0 0
    0.00 00154 0002 00043 -1520.96372 1.00000 1.00000 0 0 0
    0.00 00155 0002 00051 -1506.76124 1.00000 1.00000 0 0 0
    0.00 00156 0002 00043 -1468.03096 1.00000 1.00000 0 0 0
    0.00 00157 0002 00039 -1458.24136 1.00000 1.00000 0 0 0
    0.00 00158 0002 00045 -1462.71292 1.00000 1.00000 0 0 0
    0.00 00159 0002 00040 -1385.23986 1.00000 1.00000 0 0 0
    0.00 00160 0002 00038 -1364.18276 1.00000 1.00000 0 0 0
    0.00 00161 0002 00038 -1290.60064 1.00000 1.00000 0 0 0
    0.00 00162 0003 00036 -1254.61542 1.00000 1.00000 0 0 0
    0.00 00163 0003 00035 -1232.88365 1.00000 1.00000 0 0 0
    0.00 00164 0004 00032 -1265.10136 1.00000 1.00000 0 0 0
    0.00 00165 0003 00038 -1285.48750 1.00000 1.00000 0 0 0
    0.00 00166 0003 00032 -1222.00458 1.00000 1.00000 0 0 0
    0.00 00167 0002 00034 -1241.40024 1.00000 1.00000 0 0 0
    0.00 00168 0002 00034 -1173.13513 1.00000 1.00000 0 0 0
    0.00 00169 0002 00034 -1149.72954 1.00000 1.00000 0 0 0
    0.00 00170 0002 00033 -1114.65207 1.00000 1.00000 0 0 0
    0.00 00171 0002 00032 -1141.28589 1.00000 1.00000 0 0 0
    0.00 00172 0003 00035 -1186.53339 1.00000 1.00000 0 0 0
    0.00 00173 0003 00038 -1165.81622 1.00000 1.00000 0 0 0
    0.00 00174 0002 00035 -1198.54790 1.00000 1.00000 0 0 0
    0.00 00175 0004 00038 -1181.37050 1.00000 1.00000 0 0 0
    0.00 00176 0003 00038 -1122.43155 1.00000 1.00000 0 0 0
    0.00 00177 0004 00036 -1063.83782 1.00000 1.00000 0 0 0
    0.00 00178 0004 00042 -1151.47829 1.00000 1.00000 0 0 0
    0.00 00179 0004 00038 -1134.78511 1.00000 1.00000 0 0 0
    0.00 00180 0002 00033 -1167.50687 1.00000 1.00000 0 0 0
    0.00 00181 0002 00032 -1229.22330 1.00000 1.00000 0 0 0
    0.00 00182 0002 00036 -1265.51354 1.00000 1.00000 0 0 0
    0.00 00183 0002 00033 -1303.51178 1.00000 1.00000 0 0 0
    0.00 00184 0003 00037 -1329.83163 1.00000 1.00000 0 0 0
    0.00 00185 0002 00032 -1309.48489 1.00000 1.00000 0 0 0
    0.00 00186 0002 00034 -1277.19649 1.00000 1.00000 0 0 0
    0.00 00187 0003 00037 -1329.21329 1.00000 1.00000 0 0 0
    0.00 00188 0002 00037 -1302.43530 1.00000 1.00000 0 0 0
    0.00 00189 0002 00041 -1340.07024 1.00000 1.00000 0 0 0
    0.00 00190 0003 00039 -1342.54984 1.00000 1.00000 0 0 0
    0.00 00191 0002 00044 -1325.81381 1.00000 1.00000 0 0 0
    0.00 00192 0003 00038 -1251.20310 1.00000 1.00000 0 0 0
    0.00 00193 0002 00037 -1183.67968 1.00000 1.00000 0 0 0
    0.00 00194 0002 00032 -1158.99663 1.00000 1.00000 0 0 0
    0.00 00195 0002 00033 -1195.15298 1.00000 1.00000 0 0 0
    0.00 00196 0002 00030 -1163.53612 1.00000 1.00000 0 0 0
    0.00 00197 0002 00036 -1210.15822 1.00000 1.00000 0 0 0
    0.00 00198 0002 00033 -1278.81188 1.00000 1.00000 0 0 0
    0.00 00199 0002 00035 -1385.63769 1.00000 1.00000 0 0 0
    0.00 00200 0002 00037 -1402.96546 1.00000 1.00000 0 0 0
    0.00 00201 0002 00044 -1519.16925 1.00000 1.00000 0 0 0
    0.00 00202 0002 00044 -1495.35154 1.00000 1.00000 0 0 0
    0.00 00203 0002 00039 -1439.38076 1.00000 1.00000 0 0 0
    0.00 00204 0003 00041 -1461.86925 1.00000 1.00000 0 0 0
    0.00 00205 0002 00038 -1425.45948 1.00000 1.00000 0 0 0
    0.00 00206 0005 00041 -1355.17938 1.00000 1.00000 0 0 0
    0.00 00207 0003 00041 -1319.88204 1.00000 1.00000 0 0 0
    0.00 00208 0002 00035 -1242.62595 1.00000 1.00000 0 0 0
    0.00 00209 0002 00032 -1260.19090 1.00000 1.00000 0 0 0
    0.00 00210 0003 00035 -1279.63268 1.00000 1.00000 0 0 0
    0.00 00211 0003 00043 -1376.61468 1.00000 1.00000 0 0 0
    0.00 00212 0004 00043 -1322.18142 1.00000 1.00000 0 0 0
    0.00 00213 0002 00038 -1277.38340 1.00000 1.00000 0 0 0
    0.00 00214 0003 00036 -1319.31451 1.00000 1.00000 0 0 0
    0.00 00215 0002 00039 -1418.73705 1.00000 1.00000 0 0 0
    0.00 00216 0002 00038 -1397.43009 1.00000 1.00000 0 0 0
    0.00 00217 0002 00040 -1401.60232 1.00000 1.00000 0 0 0
    0.00 00218 0003 00044 -1456.95916 1.00000 1.00000 0 0 0
    0.00 00219 0002 00042 -1415.64593 1.00000 1.00000 0 0 0
    0.00 00220 0002 00045 -1409.83234 1.00000 1.00000 0 0 0
    0.00 00221 0002 00049 -1549.33965 1.00000 1.00000 0 0 0
    0.00 00222 0003 00048 -1636.68154 1.00000 1.00000 0 0 0
    0.00 00223 0002 00049 -1630.75590 1.00000 1.00000 0 0 0
    0.00 00224 0002 00044 -1555.17022 1.00000 1.00000 0 0 0
    0.00 00225 0002 00037 -1456.93645 1.00000 1.00000 0 0 0
    0.00 00226 0003 00040 -1523.00097 1.00000 1.00000 0 0 0
    0.00 00227 0002 00044 -1566.80617 1.00000 1.00000 0 0 0
    0.00 00228 0002 00041 -1534.10050 1.00000 1.00000 0 0 0
    0.00 00229 0003 00041 -1542.19787 1.00000 1.00000 0 0 0
    0.00 00230 0002 00041 -1496.56947 1.00000 1.00000 0 0 0
    0.00 00231 0002 00043 -1438.24478 1.00000 1.00000 0 0 0
    0.00 00232 0002 00042 -1424.96310 1.00000 1.00000 0 0 0
    0.00 00233 0002 00036 -1386.12056 1.00000 1.00000 0 0 0
    0.00 00234 0002 00034 -1393.32635 1.00000 1.00000 0 0 0
    0.00 00235 0002 00041 -1535.37369 1.00000 1.00000 0 0 0
    0.00 00236 0003 00037 -1487.09676 1.00000 1.00000 0 0 0
    0.00 00237 0002 00037 -1565.36813 1.00000 1.00000 0 0 0
    0.00 00238 0002 00039 -1607.49520 1.00000 1.00000 0 0 0
    0.00 00239 0003 00042 -1639.15428 1.00000 1.00000 0 0 0
    0.00 00240 0004 00042 -1590.40403 1.00000 1.00000 0 0 0
    0.00 00241 0003 00042 -1561.84961 1.00000 1.00000 0 0 0
    0.00 00242 0004 00041 -1520.08908 1.00000 1.00000 0 0 0
    0.00 00243 0003 00041 -1568.78903 1.00000 1.00000 0 0 0
    0.00 00244 0002 00045 -1644.41755 1.00000 1.00000 0 0 0
    0.00 00245 0002 00046 -1686.70098 1.00000 1.00000 0 0 0
    0.00 00246 0002 00048 -1762.92047 1.00000 1.00000 0 0 0
    0.00 00247 0002 00053 -1762.66444 1.00000 1.00000 0 0 0
    0.00 00248 0002 00055 -1721.36146 1.00000 1.00000 0 0 0
    0.00 00249 0003 00049 -1752.12360 1.00000 1.00000 0 0 0
    0.00 00250 0003 00051 -1713.94591 1.00000 1.00000 0 0 0
    0.00 00251 0004 00048 -1672.11517 1.00000 1.00000 0 0 0
    0.00 00252 0003 00050 -1743.18267 1.00000 1.00000 0 0 0
    0.00 00253 0002 00053 -1673.61539 1.00000 1.00000 0 0 0
    0.00 00254 0003 00048 -1662.32480 1.00000 1.00000 0 0 0
    0.00 00255 0002 00052 -1675.80699 1.00000 1.00000 0 0 0
    0.00 00256 0002 00055 -1694.61199 1.00000 1.00000 0 0 0
    0.00 00257 0003 00051 -1642.76400 1.00000 1.00000 0 0 0
    0.00 00258 0002 00046 -1596.52641 1.00000 1.00000 0 0 0
    0.00 00259 0002 00048 -1621.42403 1.00000 1.00000 0 0 0
    0.00 00260 0002 00054 -1665.24962 1.00000 1.00000 0 0 0
    0.00 00261 0002 00043 -1572.86313 1.00000 1.00000 0 0 0
    0.00 00262 0002 00044 -1543.93583 1.00000 1.00000 0 0 0
    0.00 00263 0003 00047 -1634.61497 1.00000 1.00000 0 0 0
    0.00 00264 0002 00037 -1560.25852 1.00000 1.00000 0 0 0
    0.00 00265 0002 00035 -1572.62100 1.00000 1.00000 0 0 0
    0.00 00266 0002 00042 -1633.94180 1.00000 1.00000 0 0 0
    0.00 00267 0002 00042 -1610.53210 1.00000 1.00000 0 0 0
    0.00 00268 0002 00038 -1522.86457 1.00000 1.00000 0 0 0
    0.00 00269 0002 00036 -1515.99869 1.00000 1.00000 0 0 0
    0.00 00270 0003 00042 -1505.05889 1.00000 1.00000 0 0 0
    0.00 00271 0003 00042 -1545.94819 1.00000 1.00000 0 0 0
    0.00 00272 0003 00038 -1506.63096 1.00000 1.00000 0 0 0
    0.00 00273 0003 00043 -1416.37423 1.00000 1.00000 0 0 0
