"dt_partition","time_frame","dataset_name","X","N","rmse_flex_model_simple","rmse_constraint_model_simple","rmse_flex_model_complex","rmse_constraint_model_complex","rmse_tailored_flex_lm","rmse_tailored_constr_lm"
"monthly","2014-10","salesforce",2,1114,0.0446218389531602,0.00676900555155927,0.0576236366664301,0.00567543761081297,0.0125872460306613,0.00556896474355066
"monthly","2014-10","salesforce",3,1114,0.0531790624133038,0.00713296391005377,0.060070169039652,0.00621013234765744,0.0127260717267991,0.00618945982561984
"monthly","2014-10","salesforce",4,1114,0.0627500721462059,0.00769232019113207,0.0664721523880367,0.00707280543581707,0.0131987256816347,0.00707151327160067
"monthly","2014-10","salesforce",5,1114,0.07219853129568,0.00849063283620604,0.073969355860654,0.00813451960211511,0.0138017963252061,0.00813378531322912
"monthly","2014-10","salesforce",6,1114,0.0813025380002659,0.00932402959024737,0.0817561978330236,0.00913427021577288,0.0144306226971065,0.00912766778870135
"monthly","2014-10","salesforce",7,1114,0.0898403097198671,0.00997195360306581,0.0893521681283106,0.00987992487187812,0.0150040513705476,0.00985914469963817
"monthly","2014-10","salesforce",8,1114,0.0980030766373096,0.0106038480578141,0.0968165224314674,0.0105814952656409,0.0156102853373141,0.0105386247791156
"monthly","2014-10","salesforce",9,1114,0.10576262590615,0.0111235352409862,0.104044785211016,0.0111567225284471,0.0160998996328824,0.0110869503077133
"monthly","2014-10","salesforce",10,1114,0.112836208624738,0.0114780126248207,0.110705781788203,0.0115610996332142,0.0163228736649585,0.0114565512334158
"monthly","2014-10","salesforce",11,1114,0.119662329053324,0.0119357330865141,0.117210358496431,0.0120604476224111,0.0166003547473082,0.0119250518289751
"monthly","2014-10","salesforce",12,1114,0.126211380705441,0.0123351956242035,0.123508284581077,0.0124984561014023,0.0168492020121092,0.0123301183944536
"monthly","2014-10","salesforce",13,1114,0.132634984301811,0.0127926551354213,0.129737351017182,0.0129854951582558,0.0171594972955749,0.0127909951593159
"monthly","2014-10","salesforce",14,1114,0.138814893639163,0.0132013753060976,0.135768177316145,0.0134239679952539,0.0174069939813242,0.0132009229968441
"monthly","2014-10","salesforce",15,1114,0.144761036064714,0.013609910253303,0.141602765661751,0.013861140160102,0.0176609157083108,0.0136098172159749
"monthly","2014-10","salesforce",16,1114,0.150535810438891,0.0140294551617393,0.147297790534164,0.0143065452770999,0.0179094794715948,0.0140294440866943
"monthly","2014-10","salesforce",17,1114,0.156101737038766,0.0143829273970376,0.152810982713245,0.0146902749495203,0.018111831305365,0.0143828774978058
"monthly","2014-10","salesforce",18,1114,0.161455545830321,0.0147201319265672,0.158135185851626,0.0150559511577072,0.0183077714534969,0.0147199004334909
"monthly","2014-10","salesforce",19,1114,0.166631111471411,0.0150428432573069,0.163301638905044,0.0154068858732815,0.0185058067852921,0.0150419978172132
"monthly","2014-10","salesforce",20,1114,0.17162942310998,0.0153242010460632,0.168309092846533,0.0157203356005265,0.0187057081034264,0.0153215319042619
"monthly","2014-10","salesforce",21,1114,0.176487230839549,0.0156020679281334,0.173192352352881,0.0160259568832336,0.0189187420492619,0.0155962020379143
"monthly","2014-10","salesforce",22,1114,0.181233184691278,0.015894568189039,0.177978666348892,0.0163407113661553,0.0191396131093569,0.015883873934269
"monthly","2014-10","salesforce",23,1114,0.185838257996309,0.0161591215007222,0.1826375734393,0.0166249264497092,0.0193589409310109,0.0161411489623161
"monthly","2014-10","salesforce",24,1114,0.190306467808057,0.0164167989144548,0.187172032457697,0.0168980871449128,0.019574781348554,0.0163886368453873
"monthly","2014-10","salesforce",25,1114,0.194666354809133,0.0167034654485781,0.19160982477591,0.0171934832048079,0.0198260801389862,0.016662147399994
"monthly","2014-10","salesforce",26,1114,0.198942127010097,0.0169822077847267,0.195974601017617,0.0174775563230103,0.0200962404002633,0.0169230859761893
"monthly","2014-10","salesforce",27,1114,0.203101283171566,0.0172549805951038,0.20023301774464,0.0177510210016708,0.0203831124931261,0.0171727103728819
"monthly","2014-10","salesforce",28,1114,0.207194532857229,0.0175417519761929,0.204435420567602,0.0180305415897977,0.020686218320949,0.017431785343892
"monthly","2014-10","salesforce",29,1114,0.211177821305514,0.0178217205436484,0.208537093981269,0.0182964597704869,0.0209871205206779,0.017678396653396
"monthly","2014-10","salesforce",30,1114,0.215044098601113,0.0180764926321066,0.212530503542837,0.0185292323807918,0.0212585431146325,0.0178947743485328
"monthly","2014-10","salesforce",31,1114,0.218838715652098,0.0183412149405253,0.216460926786099,0.0187630687188497,0.0215292625868356,0.0181162584580408
"monthly","2014-10","salesforce",32,1114,0.222535254135095,0.0186059327765735,0.220301577455242,0.0189887940015249,0.0217984713487333,0.0183317846522438
"monthly","2014-10","salesforce",33,1114,0.226117067042566,0.0188522160923064,0.22403564725724,0.0191900105052957,0.0220601117247195,0.0185176010968196
"monthly","2014-10","salesforce",34,1114,0.229630250356237,0.0191064070547474,0.227709075601832,0.0193891667836878,0.0223195854277061,0.0187055299564183
"monthly","2014-10","salesforce",35,1114,0.233034452467888,0.0193512621493037,0.231281271581806,0.0195701750767631,0.0225718812894983,0.0188742451320826
"monthly","2014-10","salesforce",36,1114,0.23642047859647,0.0196213684545173,0.234843241190967,0.0197662259780495,0.0228284507555527,0.0190613065961355
"monthly","2014-10","salesforce",37,1114,0.239713469804202,0.0198755631400219,0.238319730240836,0.0199365597044069,0.0230503259189666,0.0192227033916123
"monthly","2014-10","salesforce",38,1114,0.242958701617142,0.0201341247260964,0.24175610430239,0.0201008883194845,0.0232493959796758,0.0193798369272218
"monthly","2014-10","salesforce",39,1114,0.246112820902242,0.0203769030289559,0.245108817732414,0.0202385943226826,0.0234119180002949,0.0195092724610395
"monthly","2014-10","salesforce",40,1114,0.249180888184421,0.020612327062231,0.248382944330854,0.0203570817822085,0.023539229843511,0.0196170778610923
"monthly","2014-10","salesforce",41,1114,0.2521594933078,0.020837475165868,0.251575055075615,0.0204520826248621,0.0236361714121662,0.0196979839003904
"monthly","2014-10","salesforce",42,1114,0.255077275229713,0.0210692269888485,0.254713861628441,0.0205398367842847,0.0237163190964277,0.0197698740050969
"monthly","2014-10","salesforce",43,1114,0.257942394637474,0.0213230459034694,0.257807511734533,0.0206363709997666,0.0237977471113558,0.0198518310394882
"monthly","2014-10","salesforce",44,1114,0.260724359886184,0.0215686191021492,0.260825471549259,0.0207091505112223,0.0238356435994216,0.0199076836046649
"monthly","2014-10","salesforce",45,1114,0.263472289300478,0.0218447698795958,0.263816993123925,0.0207989998511606,0.023877954897146,0.0199822897441867
"monthly","2014-10","salesforce",46,1114,0.266155035257447,0.0221272620217939,0.266750915140077,0.0208787558908076,0.0239112018089149,0.020044109466731
"monthly","2014-10","salesforce",47,1114,0.268776965159008,0.0224102558170515,0.269631650460327,0.0209420386866274,0.0239281821820223,0.0200876849514357
"monthly","2014-10","salesforce",48,1114,0.271353731435336,0.0227012792229173,0.272474904680265,0.0209987310393605,0.0239329990244631,0.0201269065696944
"monthly","2014-10","salesforce",49,1114,0.273867882230937,0.0229982366095836,0.275263280135976,0.021044333656603,0.0239214058833554,0.0201540565995326
"monthly","2014-10","salesforce",50,1114,0.276328687030356,0.0232984427879721,0.278006149970871,0.0210745667923673,0.0238885551469333,0.020163742318752
"monthly","2014-11","salesforce",2,1089,0.0470497824492314,0.00876964909141402,0.0601829501891989,0.00811727639087691,0.0162324139789503,0.00799587888806284
"monthly","2014-11","salesforce",3,1089,0.055936350382632,0.0089985659465288,0.0629294242623428,0.00856877087398742,0.0163379719023328,0.00849397251023081
"monthly","2014-11","salesforce",4,1089,0.0651117701846041,0.00915553268230975,0.0689172283636295,0.00882121137954382,0.0163065632180092,0.00879666313180756
"monthly","2014-11","salesforce",5,1089,0.0745219158865892,0.0098551441727306,0.0763610307669988,0.00965348784743885,0.0168165357024961,0.00964761974230665
"monthly","2014-11","salesforce",6,1089,0.0836376307174037,0.0106347560187293,0.0841489454432487,0.0105200635165985,0.0174499957145681,0.0105200569068304
"monthly","2014-11","salesforce",7,1089,0.0922615049522528,0.0113461257506341,0.0918232906911443,0.0112898389721672,0.017992667184807,0.0112856383419999
"monthly","2014-11","salesforce",8,1089,0.100396440275197,0.0119908629776104,0.0992526064214839,0.0119784228346171,0.0184608162046947,0.0119656953456557
"monthly","2014-11","salesforce",9,1089,0.108201828564714,0.0126397260391678,0.106521880822429,0.0126570730623665,0.0190120254592497,0.0126313851791258
"monthly","2014-11","salesforce",10,1089,0.115590983240297,0.0131900063326556,0.113496667684345,0.01323078842667,0.0195212360786173,0.0131884626774328
"monthly","2014-11","salesforce",11,1089,0.122362989229747,0.0134651079900826,0.119943911424462,0.0135294069644155,0.0197562761009588,0.0134651027606134
"monthly","2014-11","salesforce",12,1089,0.128866985957576,0.0137757797047936,0.126194127236155,0.0138605524988604,0.0199629237406028,0.0137748315233838
"monthly","2014-11","salesforce",13,1089,0.135217142199067,0.0141752610756726,0.132347701017027,0.0142775344768642,0.0202501374740274,0.0141718568149829
"monthly","2014-11","salesforce",14,1089,0.14136592772151,0.0145366860407335,0.138346134013764,0.0146588040924592,0.0205010401821963,0.0145309528618088
"monthly","2014-11","salesforce",15,1089,0.147307390043178,0.0149101282746182,0.144175318761716,0.0150521105436602,0.0207478333762322,0.014902594742635
"monthly","2014-11","salesforce",16,1089,0.152954420314403,0.0151639296357898,0.149741475881299,0.0153307479870254,0.0209016631951327,0.0151560257575468
"monthly","2014-11","salesforce",17,1089,0.158270491241036,0.0153004211070601,0.15500321642907,0.0154992296712355,0.0209266237199297,0.0152938207520467
"monthly","2014-11","salesforce",18,1089,0.163502613683392,0.015489784842019,0.160205454514867,0.0157224923008645,0.0209978643164332,0.0154853055779349
"monthly","2014-11","salesforce",19,1089,0.168659941532962,0.0157308380457167,0.165354289716445,0.0159961552263307,0.0211384459224534,0.0157284889647647
"monthly","2014-11","salesforce",20,1089,0.173651973136991,0.0159399299417845,0.170356163573592,0.0162373510289758,0.0212590701250489,0.0159392504687012
"monthly","2014-11","salesforce",21,1089,0.178537464486842,0.0161572905330073,0.175268243609903,0.0164840578341231,0.0214039015413616,0.0161572900205998
"monthly","2014-11","salesforce",22,1089,0.183306042122503,0.0163633619809241,0.180078584231296,0.0167193689430259,0.0215731286641266,0.016362461925007
"monthly","2014-11","salesforce",23,1089,0.187859048561048,0.0165198622067681,0.184686465216503,0.0169016802529113,0.0216842499219071,0.0165159166622957
"monthly","2014-11","salesforce",24,1089,0.19231588512854,0.016680202940145,0.189210951967706,0.017083130088314,0.021824280569891,0.0166706132181433
"monthly","2014-11","salesforce",25,1089,0.196666709059517,0.0168469417847316,0.193641187460914,0.0172647141709941,0.0219789180981682,0.0168289138200387
"monthly","2014-11","salesforce",26,1089,0.200937950646607,0.0170413244355785,0.198003006250983,0.0174672106703157,0.0221704900566322,0.0170117327163442
"monthly","2014-11","salesforce",27,1089,0.205144368723915,0.0172497128373422,0.20231052109873,0.0176757893604736,0.0223781578729092,0.0172056916857267
"monthly","2014-11","salesforce",28,1089,0.209240974130452,0.0174630662855042,0.206518064177638,0.0178840271514232,0.0225944624611582,0.0174003989602391
"monthly","2014-11","salesforce",29,1089,0.2132073242738,0.0176689816351825,0.21060456734419,0.0180781073420343,0.0227950600027913,0.0175836743056482
"monthly","2014-11","salesforce",30,1089,0.217037813857069,0.0178186332883368,0.21456404143148,0.0182108870873602,0.0229542338695467,0.0177053432955743
"monthly","2014-11","salesforce",31,1089,0.220708115598171,0.0179276530116576,0.218371817052591,0.0182982341524146,0.023089487581197,0.0177789136656684
