"dt_partition","time_frame","dataset_name","X","N","rmse_flex_model_simple","rmse_constraint_model_simple","rmse_flex_model_complex","rmse_constraint_model_complex","rmse_tailored_flex_lm","rmse_tailored_constr_lm"
"monthly","2014-10","salesforce",2,1114,0.0824756729653985,0.0126688813994884,0.0988036649850352,0.0106724328567057,0.0149879724553938,0.0103617671587845
"monthly","2014-10","salesforce",3,1114,0.102052583630326,0.012823714163124,0.109167617040755,0.011183173577974,0.0158457431898236,0.0110958245247368
"monthly","2014-10","salesforce",4,1114,0.122679370154194,0.0134141567903715,0.125554575289259,0.0124219995255179,0.0167311332333528,0.0123948602088772
"monthly","2014-10","salesforce",5,1114,0.142505369436,0.0145849019254415,0.143063436179157,0.0141375255162466,0.0183080005417481,0.0141231825499648
"monthly","2014-10","salesforce",6,1114,0.161281392911451,0.0159239811345964,0.160456530365396,0.0157688538224664,0.0193593700128254,0.0157601288653082
"monthly","2014-10","salesforce",7,1114,0.178631324644136,0.0169189791877829,0.176943069338686,0.0168719935475237,0.0196409078422307,0.0168704178513091
"monthly","2014-10","salesforce",8,1114,0.195055707001442,0.0179048435314834,0.192819429751748,0.0178988951056495,0.0195196099610065,0.0178987077924363
"monthly","2014-10","salesforce",9,1114,0.210522786315448,0.018636106803896,0.207943685439358,0.0186385585711459,0.0189905071689877,0.0186348510851236
"monthly","2014-10","salesforce",10,1114,0.224464772528937,0.0189729683092071,0.221685580926321,0.0189703122459101,0.0193527127742522,0.0189581647774327
"monthly","2014-10","salesforce",11,1114,0.237828276960335,0.0195633687983302,0.234947876411923,0.0195377028980942,0.0199839680561191,0.0195196349566018
"monthly","2014-10","salesforce",12,1114,0.250564350527942,0.020020789459453,0.247654268494618,0.0199658256912091,0.0203777729172941,0.019941739295626
"monthly","2014-10","salesforce",13,1114,0.263008912977436,0.0206366379700108,0.260122363702146,0.0205369261559236,0.0205925549646348,0.0205122095841404
"monthly","2014-10","salesforce",14,1114,0.274926757516865,0.0211561271743488,0.272104813692208,0.0210122230562111,0.0206278718304425,0.0209872151193059
"monthly","2014-10","salesforce",15,1114,0.286329750441993,0.0217065265986546,0.283604720824403,0.0215243164281716,0.020749146476995,0.0214991148353193
