"","b","X","N"
"b",-0.76149649394988,2,1114
"b1",-0.751322464542331,3,1114
"b2",-0.741895277010772,4,1114
"b3",-0.733077862214779,5,1114
"b4",-0.725402722947435,6,1114
"b5",-0.719274743499493,7,1114
"b6",-0.713869436487202,8,1114
"b7",-0.708965103441537,9,1114
"b8",-0.704480168274566,10,1114
"b9",-0.699979567196355,11,1114
"b10",-0.695738720693395,12,1114
"b11",-0.691453478405834,13,1114
"b12",-0.687363234505645,14,1114
"b13",-0.683480703248472,15,1114
"b14",-0.67963418740785,16,1114
"b15",-0.676022988975114,17,1114
"b16",-0.67244901329247,18,1114
"b17",-0.668993620108282,19,1114
"b18",-0.665845775143008,20,1114
"b19",-0.66268152569325,21,1114
"b20",-0.659522470213395,22,1114
"b21",-0.656485099609173,23,1114
"b22",-0.653500484809325,24,1114
"b23",-0.65049972175587,25,1114
"b24",-0.647612532959677,26,1114
"b25",-0.644836153458654,27,1114
"b26",-0.642045731395641,28,1114
"b27",-0.63926125223101,29,1114
"b28",-0.636558190218335,30,1114
"b29",-0.633797702472247,31,1114
"b30",-0.631074671285615,32,1114
"b31",-0.628510902047255,33,1114
"b32",-0.625944574343401,34,1114
"b33",-0.623492696433739,35,1114
"b34",-0.620978502335512,36,1114
"b35",-0.618508625959176,37,1114
"b36",-0.61605612324092,38,1114
"b37",-0.613614702889043,39,1114
"b38",-0.611222668631754,40,1114
"b39",-0.608946515225186,41,1114
"b40",-0.606717485048987,42,1114
"b41",-0.604448046721071,43,1114
"b42",-0.602190431421146,44,1114
"b43",-0.599823397993879,45,1114
"b44",-0.597501394801252,46,1114
"b45",-0.595228759283915,47,1114
"b46",-0.592851217595075,48,1114
"b47",-0.590492721907591,49,1114
"b48",-0.588186549040644,50,1114
"b49",-0.759483816586186,2,1089
"b50",-0.746903608920139,3,1089
"b51",-0.738829281896209,4,1089
"b52",-0.731073102719115,5,1089
"b53",-0.724480875141425,6,1089
"b54",-0.718645552850823,7,1089
"b55",-0.713015590930769,8,1089
"b56",-0.707969995989509,9,1089
"b57",-0.703469857586775,10,1089
"b58",-0.699512007667258,11,1089
"b59",-0.695633298915691,12,1089
"b60",-0.691784096202034,13,1089
"b61",-0.68821302670833,14,1089
"b62",-0.684717556135027,15,1089
"b63",-0.681484739890251,16,1089
"b64",-0.678473735870158,17,1089
"b65",-0.675535190550976,18,1089
"b66",-0.672560273058457,19,1089
"b67",-0.669692881102677,20,1089
"b68",-0.666840758906174,21,1089
"b69",-0.664159118101427,22,1089
"b70",-0.661490399357588,23,1089
"b71",-0.658945082531942,24,1089
"b72",-0.656391438389656,25,1089
"b73",-0.653811670303506,26,1089
"b74",-0.65122753036609,27,1089
"b75",-0.648682962006403,28,1089
"b76",-0.646130925906292,29,1089
"b77",-0.64372119483076,30,1089
"b78",-0.641505891753766,31,1089
"b79",-0.639337775125592,32,1089
"b80",-0.637118044132279,33,1089
"b81",-0.634865843592657,34,1089
"b82",-0.632635491793932,35,1089
"b83",-0.630397451849451,36,1089
"b84",-0.628260691312307,37,1089
"b85",-0.626008919327672,38,1089
"b86",-0.623847876354442,39,1089
"b87",-0.621643137843986,40,1089
"b88",-0.619379419608326,41,1089
"b89",-0.617184179777918,42,1089
"b90",-0.614965906893412,43,1089
"b91",-0.612711113601729,44,1089
"b92",-0.610352888684658,45,1089
"b93",-0.608030456450246,46,1089
"b94",-0.605795258238074,47,1089
"b95",-0.603542667026828,48,1089
"b96",-0.601294616532379,49,1089
"b97",-0.598987349865481,50,1089
"b98",-0.764883385120876,2,1071
"b99",-0.750540883292756,3,1071
"b100",-0.737942754392702,4,1071
"b101",-0.72983191930678,5,1071
"b102",-0.722865061131186,6,1071
"b103",-0.715893303420507,7,1071
"b104",-0.710207739481461,8,1071
"b105",-0.705375557571985,9,1071
"b106",-0.700961257812637,10,1071
"b107",-0.697038175899827,11,1071
"b108",-0.693506172752345,12,1071
"b109",-0.690248788947343,13,1071
"b110",-0.687152083074232,14,1071
"b111",-0.684041764378401,15,1071
"b112",-0.681138753426681,16,1071
"b113",-0.678229005155096,17,1071
"b114",-0.675483523399204,18,1071
"b115",-0.672868049077719,19,1071
"b116",-0.670385860861776,20,1071
"b117",-0.667915362184796,21,1071
"b118",-0.665477261338263,22,1071
"b119",-0.663236484268523,23,1071
"b120",-0.661017414796349,24,1071
"b121",-0.658873148973306,25,1071
"b122",-0.656788292100006,26,1071
"b123",-0.654705372306175,27,1071
"b124",-0.652643890457826,28,1071
"b125",-0.650566224739221,29,1071
"b126",-0.648575142903574,30,1071
"b127",-0.646707745797106,31,1071
"b128",-0.644855921109674,32,1071
"b129",-0.643057049073939,33,1071
"b130",-0.641278155904952,34,1071
"b131",-0.639416844979275,35,1071
"b132",-0.637534782368439,36,1071
"b133",-0.635646448068236,37,1071
"b134",-0.633752640010373,38,1071
"b135",-0.631871659536822,39,1071
"b136",-0.630014088966786,40,1071
"b137",-0.628134185787285,41,1071
"b138",-0.626202039504516,42,1071
"b139",-0.624207441487949,43,1071
"b140",-0.622183828312802,44,1071
"b141",-0.620114492122451,45,1071
"b142",-0.618175057248078,46,1071
"b143",-0.616183481828375,47,1071
"b144",-0.614073640604424,48,1071
"b145",-0.612003907924976,49,1071
"b146",-0.609983113028455,50,1071
"b147",-0.721831528385208,2,924
"b148",-0.704272544636246,3,924
"b149",-0.694193470810831,4,924
"b150",-0.68540527287658,5,924
"b151",-0.678216098303605,6,924
"b152",-0.672049462715169,7,924
"b153",-0.66592153034271,8,924
"b154",-0.660472616019662,9,924
"b155",-0.655684827818301,10,924
"b156",-0.650851695356444,11,924
"b157",-0.646237466177569,12,924
"b158",-0.642259210019155,13,924
