"","time_interval","time_frame","dataset_name","b","X","N","lm_intercept","lm_slope"
"b","monthly","2014-10","salesforce",-0.77100979170026,2,1114,0.348103660581991,-0.747934770631035
"b1","monthly","2014-10","salesforce",-0.762733340797394,3,1114,0.679106370672218,-0.742242180440118
"b2","monthly","2014-10","salesforce",-0.755473159513705,4,1114,0.908698888346772,-0.737697280777511
"b3","monthly","2014-10","salesforce",-0.749101907375936,5,1114,1.08355247504445,-0.733917374938958
"b4","monthly","2014-10","salesforce",-0.743756194099322,6,1114,1.22415914188058,-0.730650798162981
"b5","monthly","2014-10","salesforce",-0.739371487038068,7,1114,1.33716575052652,-0.726906297933592
"b6","monthly","2014-10","salesforce",-0.735577185186919,8,1114,1.43288558971887,-0.723448649028934
"b7","monthly","2014-10","salesforce",-0.732120393853593,9,1114,1.51594125093542,-0.720199701137164
"b8","monthly","2014-10","salesforce",-0.729023806682358,10,1114,1.58826043108898,-0.717062815227171
"b9","monthly","2014-10","salesforce",-0.726004615512622,11,1114,1.65345783227588,-0.714239669939918
"b10","monthly","2014-10","salesforce",-0.723185196914467,12,1114,1.71202281726253,-0.711544901532394
"b11","monthly","2014-10","salesforce",-0.720410772563879,13,1114,1.76587324711274,-0.709071246521619
"b12","monthly","2014-10","salesforce",-0.71781848752916,14,1114,1.81584803877063,-0.706861510512916
"b13","monthly","2014-10","salesforce",-0.715353496948655,15,1114,1.86157249732288,-0.70469542743478
"b14","monthly","2014-10","salesforce",-0.712972435458534,16,1114,1.90455239182182,-0.70274527413233
"b15","monthly","2014-10","salesforce",-0.710743649971364,17,1114,1.94450538793915,-0.700882330438486
"b16","monthly","2014-10","salesforce",-0.708579380028138,18,1114,1.98125175251928,-0.698977986395164
"b17","monthly","2014-10","salesforce",-0.706497109767493,19,1114,2.01525833511708,-0.697062807150659
"b18","monthly","2014-10","salesforce",-0.70453837813918,20,1114,2.04638856910288,-0.695072269650896
"b19","monthly","2014-10","salesforce",-0.702608396164504,21,1114,2.07519155552633,-0.693042926959963
"b20","monthly","2014-10","salesforce",-0.700701520543659,22,1114,2.10249475861056,-0.69109152569414
"b21","monthly","2014-10","salesforce",-0.698843456820197,23,1114,2.12759712444133,-0.689059459672835
"b22","monthly","2014-10","salesforce",-0.697024029434581,24,1114,2.15106841024242,-0.687028763684279
"b23","monthly","2014-10","salesforce",-0.695226014148793,25,1114,2.17293255604438,-0.684975348577027
"b24","monthly","2014-10","salesforce",-0.693485514608661,26,1114,2.19323495856545,-0.682889226488755
"b25","monthly","2014-10","salesforce",-0.691793232002121,27,1114,2.21179565705006,-0.680720695831391
"b26","monthly","2014-10","salesforce",-0.690113816119523,28,1114,2.22935488999229,-0.678577749863654
"b27","monthly","2014-10","salesforce",-0.688460119905265,29,1114,2.24565846944878,-0.676406893979555
"b28","monthly","2014-10","salesforce",-0.686808863200699,30,1114,2.26082169703689,-0.674207645848341
"b29","monthly","2014-10","salesforce",-0.685159523525148,31,1114,2.27531149258222,-0.672054483173483
"b30","monthly","2014-10","salesforce",-0.683524333813742,32,1114,2.28877839408635,-0.66987763087383
"b31","monthly","2014-10","salesforce",-0.681957993745136,33,1114,2.30108215738455,-0.66765698741412
"b32","monthly","2014-10","salesforce",-0.680386866970675,34,1114,2.31272254521902,-0.665451680242373
"b33","monthly","2014-10","salesforce",-0.678848061108368,35,1114,2.32327451373809,-0.663191306917405
"b34","monthly","2014-10","salesforce",-0.677314382635809,36,1114,2.33392750841753,-0.661069581693831
"b35","monthly","2014-10","salesforce",-0.675798922000118,37,1114,2.34413175410111,-0.658989232881796
"b36","monthly","2014-10","salesforce",-0.674292768622164,38,1114,2.35443291307999,-0.657036686850102
"b37","monthly","2014-10","salesforce",-0.672810991239006,39,1114,2.36439400640127,-0.655135654706597
"b38","monthly","2014-10","salesforce",-0.671364590326053,40,1114,2.37424437769853,-0.653324719615761
"b39","monthly","2014-10","salesforce",-0.669958277633297,41,1114,2.38376583665052,-0.651560430771932
"b40","monthly","2014-10","salesforce",-0.668582345560661,42,1114,2.39322506473163,-0.649880999873146
"b41","monthly","2014-10","salesforce",-0.667217458647253,43,1114,2.40252817844983,-0.648260823737854
"b42","monthly","2014-10","salesforce",-0.665880054638298,44,1114,2.41187168836363,-0.646737793524439
"b43","monthly","2014-10","salesforce",-0.664551616582983,45,1114,2.42137490896796,-0.645320836710389
"b44","monthly","2014-10","salesforce",-0.663255049066683,46,1114,2.43056285792748,-0.643928204027885
"b45","monthly","2014-10","salesforce",-0.661980556935904,47,1114,2.43947757737859,-0.642560674434575
"b46","monthly","2014-10","salesforce",-0.660702376395066,48,1114,2.44828895886604,-0.641238754249226
"b47","monthly","2014-10","salesforce",-0.659440947199729,49,1114,2.45692491161785,-0.639953939814598
"b48","monthly","2014-10","salesforce",-0.658201493332821,50,1114,2.46554004662049,-0.638730592731383
"b49","monthly","2014-11","salesforce",-0.769357785914055,2,1089,0.319533013054551,-0.743124495092542
"b50","monthly","2014-11","salesforce",-0.759560315576843,3,1089,0.656039460364858,-0.737816417015974
"b51","monthly","2014-11","salesforce",-0.753227438061941,4,1089,0.883837203368866,-0.732777177712237
"b52","monthly","2014-11","salesforce",-0.747450320668389,5,1089,1.05667885372521,-0.728515978321482
"b53","monthly","2014-11","salesforce",-0.742620541298387,6,1089,1.19466165680435,-0.724693965479375
"b54","monthly","2014-11","salesforce",-0.738429612891022,7,1089,1.30915938358989,-0.721246064154221
"b55","monthly","2014-11","salesforce",-0.734451390393164,8,1089,1.40532418433027,-0.717734515854658
"b56","monthly","2014-11","salesforce",-0.730917052743554,9,1089,1.487726118069,-0.714314929463643
"b57","monthly","2014-11","salesforce",-0.727696969783535,10,1089,1.55863897981728,-0.710801536886118
"b58","monthly","2014-11","salesforce",-0.724768744043928,11,1089,1.61989704903774,-0.707172652274182
"b59","monthly","2014-11","salesforce",-0.721935754989612,12,1089,1.67566571308241,-0.70388442454116
"b60","monthly","2014-11","salesforce",-0.719210472137811,13,1089,1.72685102381538,-0.70089912324262
"b61","monthly","2014-11","salesforce",-0.716661537407003,14,1089,1.77438658511726,-0.698220403467539
"b62","monthly","2014-11","salesforce",-0.714217194913932,15,1089,1.81846232239404,-0.695742503392601
"b63","monthly","2014-11","salesforce",-0.711920621652805,16,1089,1.85854313992084,-0.693270013564971
"b64","monthly","2014-11","salesforce",-0.709777706481469,17,1089,1.89536318175066,-0.690865605136196
"b65","monthly","2014-11","salesforce",-0.707727604382485,18,1089,1.93072413380094,-0.688762692284823
"b66","monthly","2014-11","salesforce",-0.705730980645293,19,1089,1.96414084327024,-0.686790871761084
"b67","monthly","2014-11","salesforce",-0.703786290555087,20,1089,1.99522312965872,-0.684825974957264
"b68","monthly","2014-11","salesforce",-0.701877189562452,21,1089,2.02437197697,-0.682892907784581
"b69","monthly","2014-11","salesforce",-0.700038554156377,22,1089,2.05138520240433,-0.680925151724054
"b70","monthly","2014-11","salesforce",-0.698220766340879,23,1089,2.07614849933197,-0.678870727739426
"b71","monthly","2014-11","salesforce",-0.696427041392878,24,1089,2.0990373754268,-0.676758384071262
"b72","monthly","2014-11","salesforce",-0.694642574224434,25,1089,2.12030733261745,-0.674614493771034
"b73","monthly","2014-11","salesforce",-0.692872127596923,26,1089,2.14020575746998,-0.672465097640258
"b74","monthly","2014-11","salesforce",-0.691096845117001,27,1089,2.15906444557178,-0.670344414147016
"b75","monthly","2014-11","salesforce",-0.689354363163602,28,1089,2.17663947150617,-0.668209319085819
"b76","monthly","2014-11","salesforce",-0.687622518960195,29,1089,2.19290698374825,-0.666036093711824
"b77","monthly","2014-11","salesforce",-0.685916238913722,30,1089,2.20761058075136,-0.663764605639149
"b78","monthly","2014-11","salesforce",-0.684259310166054,31,1089,2.22044824973862,-0.661339970382292
"b79","monthly","2014-11","salesforce",-0.682610261164909,32,1089,2.2321321353072,-0.65886599903827
"b80","monthly","2014-11","salesforce",-0.680961449470457,33,1089,2.24342971252573,-0.656467197493785
"b81","monthly","2014-11","salesforce",-0.679310865174547,34,1089,2.25411507385125,-0.654094449025329
"b82","monthly","2014-11","salesforce",-0.677669310075452,35,1089,2.26401734102174,-0.651713204240986
"b83","monthly","2014-11","salesforce",-0.676029246181638,36,1089,2.27338146177724,-0.649357155405849
"b84","monthly","2014-11","salesforce",-0.67442552129356,37,1089,2.28214032080353,-0.647019921977587
"b85","monthly","2014-11","salesforce",-0.672820376681942,38,1089,2.29073094700546,-0.644763607451562
"b86","monthly","2014-11","salesforce",-0.671226083364247,39,1089,2.2989198841072,-0.642541660757303
"b87","monthly","2014-11","salesforce",-0.66963930239807,40,1089,2.30692275791763,-0.640388615349212
"b88","monthly","2014-11","salesforce",-0.668064653016197,41,1089,2.31494509204111,-0.6383350725828
"b89","monthly","2014-11","salesforce",-0.666525385784986,42,1089,2.32293967976662,-0.636376997867411
"b90","monthly","2014-11","salesforce",-0.665018012835861,43,1089,2.3310743053594,-0.634538459079645
"b91","monthly","2014-11","salesforce",-0.6635142707432,44,1089,2.33937973309677,-0.632809044469948
"b92","monthly","2014-11","salesforce",-0.662022673439767,45,1089,2.34784504327063,-0.631189260035747
"b93","monthly","2014-11","salesforce",-0.660575279783208,46,1089,2.35628958070178,-0.629651898987174
"b94","monthly","2014-11","salesforce",-0.659183490086695,47,1089,2.36456200551718,-0.628169536893913
"b95","monthly","2014-11","salesforce",-0.657797004294677,48,1089,2.37265718530308,-0.626722046242892
"b96","monthly","2014-11","salesforce",-0.65641804714293,49,1089,2.38061374204278,-0.625313235123983
"b97","monthly","2014-11","salesforce",-0.655064811439598,50,1089,2.38880184766791,-0.624011339958132
"b98","monthly","2014-12","salesforce",-0.773287082838641,2,1071,0.330388144861451,-0.745093462012364
"b99","monthly","2014-12","salesforce",-0.762128229930014,3,1071,0.66545933590846,-0.739652172949625
"b100","monthly","2014-12","salesforce",-0.752966271692003,4,1071,0.897434428996594,-0.73522948305333
"b101","monthly","2014-12","salesforce",-0.746984968389854,5,1071,1.06761100954827,-0.730394974405333
"b102","monthly","2014-12","salesforce",-0.741953143263731,6,1071,1.20204212863104,-0.72585093270642
"b103","monthly","2014-12","salesforce",-0.737174923455552,7,1071,1.31664712506774,-0.722313030647397
"b104","monthly","2014-12","salesforce",-0.733213062920262,8,1071,1.41037242112143,-0.718364177539358
"b105","monthly","2014-12","salesforce",-0.72974421112962,9,1071,1.48931414715213,-0.714263990635083
"b106","monthly","2014-12","salesforce",-0.726600835668161,10,1071,1.5583515957317,-0.710429360984346
"b107","monthly","2014-12","salesforce",-0.723746699837204,11,1071,1.62042721047875,-0.706988088575038
