"","time_interval","time_frame","dataset_name","b","X","N","lm_intercept","lm_slope"
"b","monthly","2014-10","salesforce",-0.764908825757227,2,1114,0.732720228466107,-0.831748930891893
"b1","monthly","2014-10","salesforce",-0.755509347990337,3,1114,1.05479009776902,-0.823049662652471
"b2","monthly","2014-10","salesforce",-0.746880125552969,4,1114,1.28150408338857,-0.817102993748965
"b3","monthly","2014-10","salesforce",-0.738943648506407,5,1114,1.4589372074787,-0.81331191377729
"b4","monthly","2014-10","salesforce",-0.732120347257693,6,1114,1.60152931443876,-0.809953759109426
"b5","monthly","2014-10","salesforce",-0.726684316996995,7,1114,1.71586578700454,-0.805993245383083
"b6","monthly","2014-10","salesforce",-0.721940363588662,8,1114,1.81483004414849,-0.802802874137666
"b7","monthly","2014-10","salesforce",-0.717639505669793,9,1114,1.89979324852133,-0.799535208752245
"b8","monthly","2014-10","salesforce",-0.713776558077267,10,1114,1.97118433034123,-0.795751803324309
"b9","monthly","2014-10","salesforce",-0.709909925932474,11,1114,2.03572476810162,-0.792395054825962
"b10","monthly","2014-10","salesforce",-0.706279307372839,12,1114,2.0933333576598,-0.789112083888346
"b11","monthly","2014-10","salesforce",-0.702642808025924,13,1114,2.14781911135783,-0.786446491950215
"b12","monthly","2014-10","salesforce",-0.699198392752365,14,1114,2.19699087590105,-0.78374007579342
"b13","monthly","2014-10","salesforce",-0.695934353773953,15,1114,2.24212418604719,-0.781158426581295
"b14","monthly","2014-10","salesforce",-0.692689160422662,16,1114,2.28415432085478,-0.778720355099256
"b15","monthly","2014-10","salesforce",-0.689666524516161,17,1114,2.32321890850575,-0.776415244529387
"b16","monthly","2014-10","salesforce",-0.686733990464567,18,1114,2.35945687871688,-0.774164291557759
"b17","monthly","2014-10","salesforce",-0.683936785605404,19,1114,2.39326221992751,-0.771985472527813
"b18","monthly","2014-10","salesforce",-0.681384884874771,20,1114,2.42456374778224,-0.769824718318508
"b19","monthly","2014-10","salesforce",-0.678818361463634,21,1114,2.45327749053852,-0.767536293395808
"b20","monthly","2014-10","salesforce",-0.676223090347591,22,1114,2.48014734581872,-0.765244629958374
"b21","monthly","2014-10","salesforce",-0.673714536994331,23,1114,2.50480057876513,-0.762860926845589
"b22","monthly","2014-10","salesforce",-0.671272145664859,24,1114,2.52808311812339,-0.760550072366941
"b23","monthly","2014-10","salesforce",-0.668827931510684,25,1114,2.55028140436773,-0.758325870958283
"b24","monthly","2014-10","salesforce",-0.666496513257391,26,1114,2.57214746727926,-0.756336631816861
"b25","monthly","2014-10","salesforce",-0.66429637949689,27,1114,2.59357404971057,-0.754557219421882
"b26","monthly","2014-10","salesforce",-0.662110433354219,28,1114,2.61510309517657,-0.753044383645965
"b27","monthly","2014-10","salesforce",-0.659977122784053,29,1114,2.63567876083774,-0.751568723852205
"b28","monthly","2014-10","salesforce",-0.657871644143589,30,1114,2.65378896958454,-0.749776483271425
"b29","monthly","2014-10","salesforce",-0.655722225409614,31,1114,2.67104658676412,-0.74798527691526
"b30","monthly","2014-10","salesforce",-0.653603712948353,32,1114,2.68713980266205,-0.746141189850549
"b31","monthly","2014-10","salesforce",-0.651653637484475,33,1114,2.70234330146102,-0.74431826974672
"b32","monthly","2014-10","salesforce",-0.649708474350298,34,1114,2.71693538517583,-0.742528131316965
"b33","monthly","2014-10","salesforce",-0.647820661377255,35,1114,2.72971121838346,-0.740517154006029
"b34","monthly","2014-10","salesforce",-0.645875336409785,36,1114,2.7431170917271,-0.738759376637891
"b35","monthly","2014-10","salesforce",-0.643953310231613,37,1114,2.75484930252799,-0.736787197527339
"b36","monthly","2014-10","salesforce",-0.642023856281441,38,1114,2.76667069005456,-0.734958484516431
"b37","monthly","2014-10","salesforce",-0.640121057386932,39,1114,2.77720739582622,-0.732989015643671
"b38","monthly","2014-10","salesforce",-0.638293674699444,40,1114,2.7872147872473,-0.731044647475415
"b39","monthly","2014-10","salesforce",-0.636557245827029,41,1114,2.7961567514782,-0.72900456795244
"b40","monthly","2014-10","salesforce",-0.634869862805578,42,1114,2.80534965084565,-0.727131977811221
"b41","monthly","2014-10","salesforce",-0.63318078236983,43,1114,2.81473066449556,-0.72540067841671
"b42","monthly","2014-10","salesforce",-0.631495463197613,44,1114,2.82259380916743,-0.723448825917785
"b43","monthly","2014-10","salesforce",-0.629743740787771,45,1114,2.83086609283849,-0.721660250627201
"b44","monthly","2014-10","salesforce",-0.62804367842187,46,1114,2.83884149150026,-0.71990415601262
"b45","monthly","2014-10","salesforce",-0.626412420681711,47,1114,2.84683832712328,-0.718246976250206
"b46","monthly","2014-10","salesforce",-0.624750500945926,48,1114,2.8547116817134,-0.716638174925733
"b47","monthly","2014-10","salesforce",-0.62308715859313,49,1114,2.86165762776616,-0.714911343520937
"b48","monthly","2014-10","salesforce",-0.621438244323506,50,1114,2.86817556064863,-0.713167010800689
"b49","monthly","2014-11","salesforce",-0.762872073647429,2,1089,0.779374437116473,-0.845971615295495
"b50","monthly","2014-11","salesforce",-0.75127786871847,3,1089,1.11251429192734,-0.838523661418619
"b51","monthly","2014-11","salesforce",-0.743903408184601,4,1089,1.33155260088294,-0.830353404059131
"b52","monthly","2014-11","salesforce",-0.736866623680208,5,1089,1.50113177941474,-0.824363029579896
"b53","monthly","2014-11","salesforce",-0.73094661665722,6,1089,1.63831309785782,-0.819571090706521
"b54","monthly","2014-11","salesforce",-0.725750463826921,7,1089,1.75091421977377,-0.814930215149971
"b55","monthly","2014-11","salesforce",-0.720780884516798,8,1089,1.8475193062853,-0.810842827608961
"b56","monthly","2014-11","salesforce",-0.716361848121131,9,1089,1.93178697556319,-0.807217393295867
"b57","monthly","2014-11","salesforce",-0.712448255860395,10,1089,2.00569159178919,-0.803842120594237
"b58","monthly","2014-11","salesforce",-0.708997451833488,11,1089,2.06742284122791,-0.799810775156425
"b59","monthly","2014-11","salesforce",-0.705648718790544,12,1089,2.12266523366147,-0.795971960671933
"b60","monthly","2014-11","salesforce",-0.702384815870268,13,1089,2.17515023965023,-0.792907347941288
"b61","monthly","2014-11","salesforce",-0.69932365392976,14,1089,2.22224225802077,-0.789777042163131
"b62","monthly","2014-11","salesforce",-0.696353202346228,15,1089,2.26550343047306,-0.786785631283993
"b63","monthly","2014-11","salesforce",-0.693591080038018,16,1089,2.30413158311559,-0.783666839326593
"b64","monthly","2014-11","salesforce",-0.691044374698903,17,1089,2.33741128182856,-0.780174179480326
"b65","monthly","2014-11","salesforce",-0.688547929196867,18,1089,2.3694566399245,-0.777059330911634
"b66","monthly","2014-11","salesforce",-0.686073007165906,19,1089,2.40152832531568,-0.774531082775009
"b67","monthly","2014-11","salesforce",-0.683689513842143,20,1089,2.43126842735999,-0.772025049112748
"b68","monthly","2014-11","salesforce",-0.681330684228089,21,1089,2.45966098464253,-0.769677762024739
"b69","monthly","2014-11","salesforce",-0.679131389336276,22,1089,2.48719139037123,-0.767591449791904
"b70","monthly","2014-11","salesforce",-0.676968543150202,23,1089,2.51117905008938,-0.765131970940662
"b71","monthly","2014-11","salesforce",-0.674890376154149,24,1089,2.53432189827898,-0.762849692341422
"b72","monthly","2014-11","salesforce",-0.672803593693983,25,1089,2.5558814253514,-0.7605303701927
"b73","monthly","2014-11","salesforce",-0.670729160808064,26,1089,2.57729329416346,-0.758474198012553
"b74","monthly","2014-11","salesforce",-0.668641213328146,27,1089,2.598122090862,-0.75654611675261
"b75","monthly","2014-11","salesforce",-0.666592820091162,28,1089,2.61782202045795,-0.75463288065244
"b76","monthly","2014-11","salesforce",-0.664553060228845,29,1089,2.63541943943644,-0.75250501396274
"b77","monthly","2014-11","salesforce",-0.662578771035973,30,1089,2.65006446428368,-0.749965177292953
"b78","monthly","2014-11","salesforce",-0.660769610303285,31,1089,2.66264199453459,-0.747235151531803
"b79","monthly","2014-11","salesforce",-0.658980631765723,32,1089,2.67366192736765,-0.744364995944659
"b80","monthly","2014-11","salesforce",-0.657169928105236,33,1089,2.68531994725611,-0.741798680310306
"b81","monthly","2014-11","salesforce",-0.65536483570448,34,1089,2.69686060363504,-0.739374543854911
"b82","monthly","2014-11","salesforce",-0.653577284588084,35,1089,2.7083264928867,-0.737096023993101
"b83","monthly","2014-11","salesforce",-0.651814718772929,36,1089,2.71928077894472,-0.734858977475796
"b84","monthly","2014-11","salesforce",-0.650109272369897,37,1089,2.7289814206101,-0.732503789725466
"b85","monthly","2014-11","salesforce",-0.648338337945753,38,1089,2.73853558359962,-0.730235501594482
"b86","monthly","2014-11","salesforce",-0.646604551259347,39,1089,2.74740217071831,-0.727952324012841
"b87","monthly","2014-11","salesforce",-0.644851133426368,40,1089,2.75578486951708,-0.725681179598429
"b88","monthly","2014-11","salesforce",-0.64309645681986,41,1089,2.76495917688361,-0.72368926989253
"b89","monthly","2014-11","salesforce",-0.641392731872336,42,1089,2.77336704909993,-0.721651397112352
"b90","monthly","2014-11","salesforce",-0.63968550258907,43,1089,2.78117593020163,-0.719586160846492
"b91","monthly","2014-11","salesforce",-0.63795494138601,44,1089,2.7892942963356,-0.717671435062239
"b92","monthly","2014-11","salesforce",-0.636177602865588,45,1089,2.797148842237,-0.715787344664389
"b93","monthly","2014-11","salesforce",-0.634462559767123,46,1089,2.80454069054858,-0.713906891038955
"b94","monthly","2014-11","salesforce",-0.632825481137519,47,1089,2.81136384221895,-0.712004921990785
"b95","monthly","2014-11","salesforce",-0.631149945525506,48,1089,2.81776486360601,-0.710085533273906
"b96","monthly","2014-11","salesforce",-0.629477280695765,49,1089,2.82420963156555,-0.708247844913888
"b97","monthly","2014-11","salesforce",-0.627787972081638,50,1089,2.83129248208516,-0.706610905616166
"b98","monthly","2014-12","salesforce",-0.76799996223983,2,1071,0.728166824984477,-0.831765769506942
"b99","monthly","2014-12","salesforce",-0.754767031200484,3,1071,1.06160665672198,-0.825006879346184
"b100","monthly","2014-12","salesforce",-0.743352881101196,4,1071,1.30622420873535,-0.822883570581221
"b101","monthly","2014-12","salesforce",-0.736136533932288,5,1071,1.48496533023411,-0.819487657902031
"b102","monthly","2014-12","salesforce",-0.730009835059524,6,1071,1.62766203804227,-0.816287969640925
"b103","monthly","2014-12","salesforce",-0.723970837170337,7,1071,1.7546222031647,-0.81514197196395
"b104","monthly","2014-12","salesforce",-0.719086675951155,8,1071,1.85635999970085,-0.812523456489472
"b105","monthly","2014-12","salesforce",-0.714972217887548,9,1071,1.94116899771583,-0.809254192796885
"b106","monthly","2014-12","salesforce",-0.711238544884506,10,1071,2.01523783912567,-0.806050399766647
"b107","monthly","2014-12","salesforce",-0.707945331890521,11,1071,2.08110608137986,-0.803063737871776
"b108","monthly","2014-12","salesforce",-0.704968952043951,12,1071,2.13955314282931,-0.800035694195343
"b109","monthly","2014-12","salesforce",-0.702243700069052,13,1071,2.19162207312467,-0.796983358150938
"b110","monthly","2014-12","salesforce",-0.699677485604459,14,1071,2.24057704275695,-0.794414783890154
"b111","monthly","2014-12","salesforce",-0.697110080515082,15,1071,2.28504286766696,-0.791778689714831
"b112","monthly","2014-12","salesforce",-0.694754339714386,16,1071,2.32596482871332,-0.789275954282367
"b113","monthly","2014-12","salesforce",-0.692417372542823,17,1071,2.36405403351576,-0.786897303145761
"b114","monthly","2014-12","salesforce",-0.690193666957625,18,1071,2.39904690237071,-0.784477538988503
"b115","monthly","2014-12","salesforce",-0.688086954438978,19,1071,2.43052381991837,-0.781888391950747
"b116","monthly","2014-12","salesforce",-0.686079553352459,20,1071,2.45939788614774,-0.779256054768217
"b117","monthly","2014-12","salesforce",-0.684071165448308,21,1071,2.48646155344932,-0.776674031714931
"b118","monthly","2014-12","salesforce",-0.682098733416923,22,1071,2.51232775730255,-0.774258150634088
"b119","monthly","2014-12","salesforce",-0.680283226333837,23,1071,2.53690828635569,-0.771972827809864
"b120","monthly","2014-12","salesforce",-0.678465430485282,24,1071,2.55983293627936,-0.769656698918091
"b121","monthly","2014-12","salesforce",-0.676705725230604,25,1071,2.58064525727548,-0.767214658760109
"b122","monthly","2014-12","salesforce",-0.674971038143299,26,1071,2.5999134380925,-0.764731215795719
"b123","monthly","2014-12","salesforce",-0.67323330231758,27,1071,2.61770710411757,-0.762186553590268
"b124","monthly","2014-12","salesforce",-0.67151686855367,28,1071,2.63372795384958,-0.759527421729651
"b125","monthly","2014-12","salesforce",-0.669773916312797,29,1071,2.64980768571306,-0.757101376065678
"b126","monthly","2014-12","salesforce",-0.668110938831094,30,1071,2.66381083586589,-0.754465381143376
"b127","monthly","2014-12","salesforce",-0.666541019157526,31,1071,2.67623923390933,-0.751711012890846
"b128","monthly","2014-12","salesforce",-0.664977612130888,32,1071,2.68900440337888,-0.749217766359943
