"dt_partition","time_frame","dataset_name","X","N","rmse_flex_model","rmse_constraint_model","rmse_tailored_flex_lm","rmse_tailored_constr_lm"
"monthly","2014-10","salesforce",2,1114,0.0831365451366612,0.0130882520475164,0.0149879724553938,0.0103617671587845
"monthly","2014-10","salesforce",3,1114,0.102949642382862,0.0158583886416136,0.0158457431898236,0.0110958245247368
"monthly","2014-10","salesforce",4,1114,0.12374876380986,0.0191342258890531,0.0167311332333528,0.0123948602088772
"monthly","2014-10","salesforce",5,1114,0.143713146572948,0.0226385633093832,0.0183080005417481,0.0141231825499648
"monthly","2014-10","salesforce",6,1114,0.162606638341151,0.0258239499544401,0.0193593700128254,0.0157601288653082
"monthly","2014-10","salesforce",7,1114,0.18006098696546,0.0282693964488456,0.0196409078422307,0.0168704178513091
"monthly","2014-10","salesforce",8,1114,0.196580561649711,0.0304199377602959,0.0195196099610065,0.0178987077924363
"monthly","2014-10","salesforce",9,1114,0.212136794206281,0.0322132720234692,0.0189905071689877,0.0186348510851236
"monthly","2014-10","salesforce",10,1114,0.226164600866565,0.0335790201128805,0.0193527127742522,0.0189581647774328
"monthly","2014-10","salesforce",11,1114,0.239610497428016,0.0350532711534442,0.0199839680561191,0.0195196349566018
"monthly","2014-10","salesforce",12,1114,0.252426522313664,0.0363296985954734,0.0203777729172941,0.019941739295626
"monthly","2014-10","salesforce",13,1114,0.264948984590659,0.0376617297979334,0.0205925549646348,0.0205122095841404
"monthly","2014-10","salesforce",14,1114,0.276943476899717,0.0388358756652085,0.0206278718304425,0.0209872151193059
"monthly","2014-10","salesforce",15,1114,0.288422239174467,0.0399303008233718,0.020749146476995,0.0214991148353194
"monthly","2014-10","salesforce",16,1114,0.299542517204258,0.0410114877516211,0.0208551961310946,0.0220499791371257
"monthly","2014-10","salesforce",17,1114,0.310217221401919,0.0419100106760149,0.0207877985739275,0.022479790215632
"monthly","2014-10","salesforce",18,1114,0.320428269321003,0.0427343480151344,0.0209203688231552,0.0228884421142368
"monthly","2014-10","salesforce",19,1114,0.330252875787208,0.0434738140284498,0.0210858987284491,0.0232902560923893
"monthly","2014-10","salesforce",20,1114,0.339694389457152,0.0440508719407345,0.0211034518634849,0.0236265565625821
"monthly","2014-10","salesforce",21,1114,0.348844063911066,0.0445869573518865,0.0211076754213277,0.0239182630551863
"monthly","2014-10","salesforce",22,1114,0.357769516129722,0.0451351504282098,0.0211213564364224,0.0242476859441005
"monthly","2014-10","salesforce",23,1114,0.36639494407078,0.0455840978659748,0.021060754367628,0.0244992376105281
"monthly","2014-10","salesforce",24,1114,0.374727179407389,0.0459873796721408,0.021106493371351,0.024752132128255
"monthly","2014-10","salesforce",25,1114,0.382838923107728,0.046411662838239,0.0212815088252324,0.0250729397847879
"monthly","2014-10","salesforce",26,1114,0.390786256132407,0.0467564912178927,0.0212236793356273,0.0253669514287901
"monthly","2014-10","salesforce",27,1114,0.398483996387923,0.0470204534964769,0.0211582931814725,0.0256434773169014
"monthly","2014-10","salesforce",28,1114,0.406056126202902,0.0472772094000028,0.0209994136026164,0.0259429658843856
"monthly","2014-10","salesforce",29,1114,0.413396463944513,0.0474786295022785,0.0208723217646221,0.0262067965753663
"monthly","2014-10","salesforce",30,1114,0.420477104979584,0.0476134202975523,0.0207918018645738,0.0263954855063168
"monthly","2014-10","salesforce",31,1114,0.42742197134935,0.0477531891452918,0.0206973356897836,0.0265807977276391
"monthly","2014-10","salesforce",32,1114,0.434159149298424,0.0478612852988466,0.0206805027798949,0.02675271492227
"monthly","2014-10","salesforce",33,1114,0.440656931834459,0.0478513353058682,0.0206018777789757,0.0268609206691062
"monthly","2014-10","salesforce",34,1114,0.447011984933885,0.0478368254981997,0.0205437909042042,0.0269812999740484
"monthly","2014-10","salesforce",35,1114,0.453139347684342,0.0477472295860842,0.0205186146724297,0.0270283186531455
"monthly","2014-10","salesforce",36,1114,0.459270326760367,0.0476979165241409,0.0203024248084346,0.0271182545465061
"monthly","2014-10","salesforce",37,1114,0.46520840454677,0.047591877543745,0.0201038413092959,0.0271405727524876
"monthly","2014-10","salesforce",38,1114,0.471067576812756,0.047488923225169,0.019833191964679,0.0271756900154714
"monthly","2014-10","salesforce",39,1114,0.476741206523144,0.0473269876773123,0.0195857097239774,0.0271401413376349
"monthly","2014-10","salesforce",40,1114,0.482238876065454,0.0471175621624058,0.0193888355322069,0.0270875901894759
"monthly","2014-10","salesforce",41,1114,0.487552337138616,0.0468321372580454,0.01918045328084,0.0269791249105699
"monthly","2014-10","salesforce",42,1114,0.492759294706327,0.0465253250191242,0.0189377846110626,0.0268774605373636
"monthly","2014-10","salesforce",43,1114,0.497874567506844,0.0462392184328864,0.0187465364827605,0.0268179843163675
