"","b","X","N"
"b",-0.771494100401664,2,1114
"b1",-0.763385088987231,3,1114
"b2",-0.756242514570748,4,1114
"b3",-0.749968491825271,5,1114
"b4",-0.74472173932522,6,1114
"b5",-0.740458177411305,7,1114
"b6",-0.736775067339275,8,1114
"b7",-0.733427672898665,9,1114
"b8",-0.730433694379234,10,1114
"b9",-0.727498036269665,11,1114
"b10",-0.724763942379993,12,1114
"b11",-0.722059255452257,13,1114
"b12",-0.719526408867048,14,1114
"b13",-0.717126650668257,15,1114
"b14",-0.714804908554058,16,1114
"b15",-0.712636003066682,17,1114
"b16",-0.710536503170827,18,1114
"b17",-0.708524905919067,19,1114
"b18",-0.70664777398947,20,1114
"b19",-0.704804278320668,21,1114
"b20",-0.702988144439429,22,1114
"b21",-0.701226902790159,23,1114
"b22",-0.699509561580359,24,1114
"b23",-0.69781760803161,25,1114
"b24",-0.696189884607528,26,1114
"b25",-0.694616525408385,27,1114
"b26",-0.693059454850929,28,1114
"b27",-0.691530356204324,29,1114
"b28",-0.69000189917983,30,1114
"b29",-0.688473305594029,31,1114
"b30",-0.686957828369516,32,1114
"b31",-0.685508111309355,33,1114
"b32",-0.684051084674001,34,1114
"b33",-0.682626994038023,35,1114
"b34",-0.681199535692368,36,1114
"b35",-0.679776220541152,37,1114
"b36",-0.678347310859086,38,1114
"b37",-0.676931425220834,39,1114
"b38",-0.675542636511139,40,1114
"b39",-0.674188425369445,41,1114
"b40",-0.672853612100497,42,1114
"b41",-0.671521369789132,43,1114
"b42",-0.670205152742071,44,1114
"b43",-0.668893604259893,45,1114
"b44",-0.667612018009959,46,1114
"b45",-0.666354200453112,47,1114
"b46",-0.665087190216355,48,1114
"b47",-0.663840292114943,49,1114
"b48",-0.662614678083108,50,1114
"b49",-0.769899969215076,2,1089
"b50",-0.760260044314475,3,1089
"b51",-0.754087775495861,4,1089
"b52",-0.748454006001602,5,1089
"b53",-0.743761273447187,6,1089
"b54",-0.739712340415267,7,1089
"b55",-0.735866814929001,8,1089
"b56",-0.732463401006679,9,1089
"b57",-0.729372093377043,10,1089
"b58",-0.726563486055714,11,1089
"b59",-0.723836558578852,12,1089
"b60",-0.721211800415279,13,1089
"b61",-0.718747521655149,14,1089
"b62",-0.716390142805023,15,1089
"b63",-0.714183239930323,16,1089
"b64",-0.712133291734814,17,1089
"b65",-0.710166410588187,18,1089
"b66",-0.708250611995774,19,1089
"b67",-0.706393739766857,20,1089
"b68",-0.704578213996376,21,1089
"b69",-0.702841315328678,22,1089
"b70",-0.701129939209838,23,1089
"b71",-0.699447433347042,24,1089
"b72",-0.697777751780592,25,1089
"b73",-0.696125829335702,26,1089
"b74",-0.694471284323655,27,1089
"b75",-0.692854559874803,28,1089
"b76",-0.691247095905702,29,1089
"b77",-0.689669830944976,30,1089
"b78",-0.688148562486931,31,1089
"b79",-0.68663600038947,32,1089
"b80",-0.685119042870624,33,1089
"b81",-0.683595433481167,34,1089
"b82",-0.682081513224743,35,1089
"b83",-0.680561946990077,36,1089
"b84",-0.679070160748405,37,1089
"b85",-0.677571769223303,38,1089
"b86",-0.676075032375904,39,1089
"b87",-0.674577162903301,40,1089
"b88",-0.673077857746713,41,1089
"b89",-0.671604900134571,42,1089
"b90",-0.670147313757655,43,1089
"b91",-0.668683517060252,44,1089
"b92",-0.667222658268553,45,1089
"b93",-0.665797764176771,46,1089
"b94",-0.664426340935206,47,1089
"b95",-0.663049918886253,48,1089
"b96",-0.661683799050168,49,1089
"b97",-0.660342799459804,50,1089
"b98",-0.773942317122595,2,1071
"b99",-0.762906492886335,3,1071
"b100",-0.753825818704543,4,1071
"b101",-0.747971008600619,5,1071
"b102",-0.74307523749855,6,1071
"b103",-0.738420267209301,7,1071
"b104",-0.734594086117045,8,1071
"b105",-0.731272039373014,9,1071
"b106",-0.728270156727979,10,1071
"b107",-0.725534805665679,11,1071
"b108",-0.722978089731501,12,1071
"b109",-0.720634325415471,13,1071
"b110",-0.718389460863316,14,1071
"b111",-0.716172835659713,15,1071
"b112",-0.714099543227318,16,1071
"b113",-0.712044801606633,17,1071
"b114",-0.710112950126336,18,1071
"b115",-0.708274639848435,19,1071
"b116",-0.70650085345965,20,1071
"b117",-0.704731232558721,21,1071
"b118",-0.702984475883759,22,1071
"b119",-0.701289039490099,23,1071
"b120",-0.699608718259424,24,1071
